#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.81464     1.81464           0
           2     1.88286     1.84875   0.0241185
           3     1.88478     1.86076   0.0188336
           4     1.84305     1.85633   0.0146365
           5     1.85928     1.85692   0.0117211
           6     1.82264     1.85121   0.0110731
           7      1.8119     1.84559   0.0108216
           8     1.78941     1.83857   0.0115243
           9      1.7945     1.83367    0.011236
          10     1.81178     1.83148   0.0103235
          11      1.8278     1.83115  0.00939047
          12     1.84498      1.8323  0.00867839
          13     1.83132     1.83223  0.00801115
          14     1.84917     1.83344  0.00752984
          15     1.88002     1.83654  0.00764155
          16     1.82696     1.83594  0.00718739
          17     1.86234      1.8375  0.00693024
          18     1.87591     1.83963  0.00686598
          19     1.87569     1.84153  0.00676188
          20     1.86331     1.84262  0.00651089
          21     1.83449     1.84223  0.00621234
          22      1.8585     1.84297  0.00597384
          23     1.90654     1.84573  0.00632116
          24     1.88751     1.84747  0.00629284
          25     1.83022     1.84678  0.00607884
          26     1.84156     1.84658  0.00584836
          27      1.8929      1.8483  0.00587799
          28     1.92539     1.85105   0.0062798
          29     1.86213     1.85143  0.00607487
          30     1.89177     1.85278  0.00601932
          31     1.86424     1.85315   0.0058365
          32     1.84894     1.85302  0.00565559
          33     1.85713     1.85314  0.00548558
          34     1.84531     1.85291  0.00532907
          35     1.87043     1.85341  0.00520027
          36     1.87064     1.85389   0.0050778
          37     1.89482       1.855  0.00505963
          38     1.87143     1.85543  0.00494493
          39     1.85362     1.85538  0.00481835
          40     1.85733     1.85543  0.00469814
          41     1.85054     1.85531  0.00458507
          42     1.86822     1.85562  0.00448619
          43      1.9024     1.85671  0.00451187
          44     1.90183     1.85773  0.00452434
          45     1.82882     1.85709  0.00446919
          46     1.80684       1.856  0.00450357
          47      1.8424     1.85571  0.00441703
          48     1.85343     1.85566  0.00432526
          49     1.82006     1.85493  0.00429757
          50     1.79162     1.85367  0.00439424
          51     1.82616     1.85313  0.00434105
          52     1.78631     1.85184   0.0044437
          53      1.7882     1.85064  0.00451919
          54     1.81656     1.85001  0.00447935
          55     1.82889     1.84963  0.00441433
          56     1.83085     1.84929  0.00434821
          57     1.85275     1.84935  0.00427235
          58     1.87344     1.84977  0.00421883
          59     1.94692     1.85142  0.00445709
          60     1.93577     1.85282  0.00459919
          61     1.91156     1.85378  0.00462351
          62     1.89687     1.85448  0.00460088
          63     1.88225     1.85492  0.00454891
          64      1.8814     1.85533  0.00449661
          65     1.88813     1.85584  0.00445566
          66      1.8934     1.85641  0.00442434
          67     1.85032     1.85632  0.00435924
          68     1.83063     1.85594  0.00431146
          69      1.8506     1.85586  0.00424967
          70     1.94186     1.85709  0.00436295
          71      1.9711      1.8587  0.00458751
          72     1.96516     1.86017  0.00475613
          73     1.96354     1.86159   0.0048972
          74     1.91507     1.86231  0.00488407
          75     1.90317     1.86286  0.00484924
          76     1.91079     1.86349  0.00482626
          77     1.87118     1.86359  0.00476462
          78     1.86987     1.86367  0.00470421
          79     1.91376      1.8643   0.0046872
          80     1.95531     1.86544  0.00476467
          81     1.89554     1.86581  0.00472031
          82     1.85739     1.86571  0.00466386
          83      1.9065      1.8662   0.0046335
          84     1.91023     1.86673  0.00460789
          85      1.8635     1.86669  0.00455384
          86     1.85092      1.8665  0.00450457
          87     1.84055     1.86621  0.00446267
          88     1.86444     1.86619    0.004412
          89     1.90908     1.86667  0.00438867
          90     1.93215      1.8674   0.0043998
          91     1.89319     1.86768  0.00436057
          92     1.88684     1.86789  0.00431815
          93      1.8887     1.86811  0.00427751
          94      1.9102     1.86856  0.00425538
          95     1.91853     1.86908  0.00424297
          96     1.87097      1.8691  0.00419882
          97     1.83622     1.86877   0.0041692
          98     1.84026     1.86847  0.00413679
          99     1.79281     1.86771  0.00416501
         100     1.77233     1.86676  0.00423117
