#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.64242     1.64242           0
           2     1.63848     1.64045  0.00139242
           3     1.65047     1.64379  0.00287988
           4     1.64604     1.64435  0.00221433
           5     1.64238     1.64396   0.0018063
           6     1.65203      1.6453  0.00194315
           7     1.64563     1.64535   0.0016661
           8     1.65447     1.64649    0.001806
           9     1.64568      1.6464  0.00160756
          10     1.64441      1.6462   0.0014591
          11     1.64348     1.64595  0.00134729
          12     1.63991     1.64545   0.0013259
          13     1.64203     1.64518  0.00124977
          14      1.6537     1.64579  0.00130015
          15     1.64597      1.6458  0.00121352
          16     1.63155     1.64491  0.00142792
          17     1.63778     1.64449  0.00140428
          18     1.65162     1.64489  0.00138096
          19     1.64272     1.64478  0.00131301
          20     1.64327      1.6447  0.00124953
          21     1.64235     1.64459  0.00119503
          22     1.63263     1.64404   0.0012583
          23     1.64011     1.64387  0.00121514
          24     1.64598     1.64396  0.00116768
          25     1.64032     1.64382  0.00113002
          26      1.6309     1.64332   0.0011907
          27     1.64752     1.64347  0.00115672
          28     1.64592     1.64356  0.00111871
          29     1.65017     1.64379  0.00110311
          30     1.64116      1.6437  0.00106982
          31     1.63966     1.64357  0.00104324
          32     1.64296     1.64355  0.00101081
          33     1.63869     1.64341 0.000990877
          34     1.64089     1.64333 0.000964481
          35     1.64157     1.64328 0.000938237
          36     1.63814     1.64314 0.000922981
          37     1.64026     1.64306 0.000901296
          38     1.65086     1.64327 0.000900653
          39     1.62459     1.64279 0.000996736
          40     1.64074     1.64274 0.000973128
          41     1.63623     1.64258 0.000962245
          42     1.64539     1.64264 0.000941668
          43     1.64161     1.64262 0.000920077
          44     1.64812     1.64275  0.00090762
          45      1.6485     1.64287 0.000896429
          46      1.6375     1.64276 0.000884515
          47     1.64006      1.6427 0.000867553
          48     1.65018     1.64285 0.000863371
          49      1.6327     1.64265 0.000870272
          50     1.64771     1.64275 0.000858737
          51     1.63016      1.6425 0.000876685
          52     1.64809     1.64261 0.000866384
          53     1.64269     1.64261 0.000850038
          54     1.63164     1.64241 0.000858251
          55     1.63182     1.64222 0.000863961
          56     1.63175     1.64203 0.000868498
          57     1.63211     1.64185 0.000870535
          58     1.65202     1.64203 0.000873002
          59     1.64653     1.64211 0.000861535
          60     1.65147     1.64226  0.00086119
          61     1.63141     1.64208 0.000865239
          62     1.64089     1.64206 0.000851499
          63     1.63891     1.64201 0.000839453
          64      1.6378     1.64195  0.00082891
          65     1.64558       1.642  0.00081804
          66     1.64456     1.64204 0.000806562
          67     1.63451     1.64193 0.000802321
          68     1.64038     1.64191 0.000790846
          69     1.64407     1.64194 0.000780002
          70     1.64208     1.64194 0.000768862
          71     1.62829     1.64175 0.000781717
          72       1.637     1.64168 0.000773633
          73     1.64131     1.64168 0.000763052
          74     1.62818      1.6415 0.000774228
          75     1.63831     1.64145 0.000765073
          76     1.63067     1.64131 0.000768055
          77     1.64843      1.6414 0.000763628
          78     1.65259     1.64155 0.000767186
          79     1.63083     1.64141 0.000769371
          80     1.65299     1.64156 0.000773245
          81     1.64446     1.64159 0.000764529
          82     1.63381      1.6415  0.00076108
          83     1.63591     1.64143  0.00075488
          84     1.64312     1.64145 0.000746161
          85     1.65012     1.64155 0.000744316
          86     1.64857     1.64163 0.000740123
          87     1.64193     1.64164 0.000731623
          88     1.63812      1.6416 0.000724399
          89     1.63404     1.64151  0.00072122
          90     1.64788     1.64158  0.00071667
          91     1.63563     1.64152 0.000711774
          92     1.64263     1.64153 0.000704139
          93      1.6435     1.64155 0.000696887
          94     1.63879     1.64152 0.000690093
          95     1.63353     1.64144 0.000687935
          96     1.63992     1.64142 0.000680952
          97     1.63505     1.64136 0.000677096
          98     1.64711     1.64141 0.000672731
          99     1.64145     1.64141 0.000665936
         100     1.64676     1.64147 0.000661415
