#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20728     1.20728           0
           2     1.20673     1.20701 0.000192208
           3     1.20836     1.20746 0.000389402
           4     1.20811     1.20762 0.000324005
           5     1.20923     1.20794 0.000387634
           6     1.20533     1.20751 0.000512201
           7     1.21043     1.20792 0.000585472
           8     1.21104     1.20831 0.000628295
           9     1.20731      1.2082 0.000568189
          10     1.20799     1.20818  0.00051178
          11     1.20707     1.20808 0.000475044
          12     1.20726     1.20801 0.000440325
          13     1.21039      1.2082  0.00044294
          14     1.20717     1.20812 0.000417266
          15     1.20837     1.20814 0.000389767
          16     1.20886     1.20818 0.000368022
          17     1.20811     1.20818   0.0003464
          18     1.20923     1.20824 0.000332062
          19     1.20727     1.20819 0.000318495
          20     1.21002     1.20828 0.000315426
          21     1.20738     1.20824 0.000303308
          22     1.20727     1.20819 0.000292661
          23     1.20921     1.20824 0.000283251
          24     1.20517     1.20811  0.00029881
          25     1.20741     1.20808 0.000288152
          26     1.20595       1.208 0.000288436
          27     1.20941     1.20805 0.000282482
          28      1.2081     1.20805 0.000272399
          29     1.20929      1.2081 0.000266351
          30     1.20724     1.20807  0.00025898
          31     1.20844     1.20808   0.0002509
          32     1.20794     1.20807 0.000243096
          33     1.20645     1.20803 0.000240648
          34      1.2097     1.20807  0.00023854
          35     1.20824     1.20808  0.00023177
          36     1.20794     1.20808 0.000225364
          37     1.20848     1.20809 0.000219543
          38     1.20741     1.20807  0.00021449
          39     1.20714     1.20805 0.000210295
          40     1.21029      1.2081 0.000212412
          41     1.20664     1.20807 0.000210195
          42     1.20809     1.20807 0.000205191
          43     1.20877     1.20808 0.000201078
          44     1.20685     1.20805 0.000198448
          45     1.20765     1.20805 0.000194243
          46     1.20737     1.20803 0.000190577
          47     1.20744     1.20802 0.000186934
          48     1.20618     1.20798 0.000186929
          49      1.2049     1.20792 0.000193363
          50     1.20839     1.20793 0.000189728
          51     1.20878     1.20794 0.000186746
          52      1.2064     1.20791 0.000185487
          53     1.20994     1.20795 0.000185869
          54     1.20926     1.20798 0.000183992
          55     1.20515     1.20792 0.000187707
          56     1.20768     1.20792 0.000184406
          57     1.20793     1.20792 0.000181171
          58     1.20846     1.20793 0.000178286
          59     1.20738     1.20792 0.000175509
          60     1.20816     1.20792  0.00017263
          61     1.20896     1.20794 0.000170638
          62     1.20805     1.20794 0.000167895
          63      1.2032     1.20787 0.000181312
          64      1.2087     1.20788 0.000178941
          65     1.20632     1.20786 0.000177787
          66     1.20836     1.20786 0.000175256
          67     1.20808     1.20787 0.000172669
          68     1.20853     1.20788 0.000170403
          69     1.20647     1.20786 0.000169154
          70     1.20852     1.20787 0.000167001
          71     1.20558     1.20783 0.000167739
          72     1.21147     1.20788 0.000172843
          73      1.2076     1.20788 0.000170519
          74     1.20725     1.20787  0.00016843
          75     1.20569     1.20784 0.000168681
          76     1.20974     1.20787 0.000168288
          77     1.20614     1.20785 0.000167586
          78     1.20916     1.20786  0.00016628
          79     1.20703     1.20785 0.000164512
          80     1.20649     1.20784 0.000163336
          81     1.20844     1.20784 0.000161488
          82     1.20691     1.20783 0.000159916
          83     1.20911     1.20785 0.000158733
          84     1.20558     1.20782 0.000159111
          85     1.20853     1.20783 0.000157458
          86     1.20662     1.20781 0.000156249
          87     1.20821     1.20782 0.000154519
          88     1.20769     1.20782  0.00015277
          89     1.20356     1.20777 0.000158359
          90     1.20704     1.20776 0.000156808
          91     1.20454     1.20773 0.000159029
          92     1.20874     1.20774 0.000157684
          93     1.20753     1.20773 0.000156005
          94     1.20762     1.20773 0.000154351
          95     1.20824     1.20774 0.000152817
          96     1.20905     1.20775 0.000151837
          97     1.20637     1.20774 0.000150941
          98     1.20868     1.20775 0.000149709
          99     1.20698     1.20774 0.000148397
         100     1.20729     1.20774  0.00014698
