#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.347548   -0.347548           0
           2   -0.415802   -0.381675   0.0241313
           3   -0.417699   -0.393683   0.0188398
           4   -0.375965   -0.389253   0.0146413
           5   -0.392167   -0.389836   0.0117246
           6   -0.355442   -0.384104   0.0110836
           7   -0.344701   -0.378475   0.0108357
           8   -0.322162   -0.371436   0.0115434
           9   -0.327268   -0.366528   0.0112557
          10    -0.34451   -0.364326   0.0103433
          11   -0.360657   -0.363993  0.00940834
          12   -0.377749   -0.365139  0.00869388
          13   -0.364105    -0.36506  0.00802548
          14   -0.381994   -0.366269  0.00754283
          15    -0.41285   -0.369375  0.00765257
          16   -0.359846   -0.368779  0.00719742
          17   -0.395326   -0.370341  0.00694138
          18   -0.408861   -0.372481  0.00687772
          19   -0.408642   -0.374384  0.00677395
          20   -0.396249   -0.375477  0.00652288
          21   -0.367482   -0.375096  0.00622337
          22   -0.391681    -0.37585  0.00598597
          23   -0.439627   -0.378623  0.00633549
          24   -0.420507   -0.380368  0.00630729
          25   -0.363209   -0.379682  0.00609222
          26   -0.374557   -0.379485   0.0058611
          27   -0.425854   -0.381202  0.00589025
          28   -0.458283   -0.383955  0.00629038
          29   -0.395025   -0.384337  0.00608504
          30   -0.424624    -0.38568  0.00602857
          31   -0.397051   -0.386047  0.00584525
          32   -0.381746   -0.385912  0.00566413
          33   -0.389897   -0.386033  0.00549378
          34    -0.37812     -0.3858  0.00533712
          35   -0.403314   -0.386301  0.00520804
          36    -0.40357    -0.38678  0.00508541
          37   -0.427792   -0.387889  0.00506733
          38   -0.404403   -0.388323  0.00495257
          39   -0.386534   -0.388277   0.0048258
          40   -0.390248   -0.388327   0.0047054
          41   -0.383456   -0.388208  0.00459214
          42   -0.401232   -0.388518  0.00449326
          43   -0.435408   -0.389608  0.00451915
          44    -0.43474   -0.390634  0.00453135
          45   -0.361716   -0.389992  0.00447599
          46   -0.339731   -0.388899  0.00451007
          47   -0.375342    -0.38861  0.00442333
          48   -0.386315   -0.388563  0.00433143
          49   -0.352958   -0.387836  0.00430355
          50   -0.324513    -0.38657  0.00439989
          51   -0.359043    -0.38603  0.00434659
          52   -0.319063   -0.384742   0.0044497
          53   -0.321061    -0.38354  0.00452506
          54   -0.349386   -0.382908  0.00448525
          55   -0.361724   -0.382523   0.0044202
          56   -0.363718   -0.382187  0.00435401
          57   -0.385603   -0.382247  0.00427803
          58    -0.40642   -0.382664  0.00422453
          59   -0.479823    -0.38431  0.00446236
          60   -0.468605   -0.385715  0.00460383
          61   -0.444452   -0.386678  0.00462796
          62   -0.429819   -0.387374  0.00460533
          63   -0.415302   -0.387817  0.00455351
          64   -0.414409   -0.388233  0.00450128
          65   -0.421214    -0.38874  0.00446054
          66   -0.426378   -0.389311  0.00442926
          67   -0.383218    -0.38922  0.00436408
          68   -0.363586   -0.388843  0.00431615
          69   -0.383624   -0.388767  0.00425426
          70   -0.474925   -0.389998  0.00436791
          71   -0.504094   -0.391605   0.0045925
          72   -0.498109   -0.393084  0.00476099
          73   -0.496448     -0.3945   0.0049018
          74   -0.447968   -0.395223  0.00488853
          75   -0.436022   -0.395767  0.00485352
          76    -0.44363   -0.396396  0.00483034
          77    -0.40404   -0.396496  0.00476863
          78   -0.402768   -0.396576  0.00470817
          79    -0.44676   -0.397211  0.00469123
          80    -0.48818   -0.398348  0.00476841
          81   -0.428463    -0.39872  0.00472402
          82   -0.390345   -0.398618  0.00466751
          83   -0.439522   -0.399111  0.00463722
          84    -0.44315   -0.399635  0.00461156
          85   -0.396456   -0.399598  0.00455746
          86   -0.383926   -0.399415   0.0045081
          87   -0.373483   -0.399117  0.00446613
          88   -0.397412   -0.399098  0.00441542
          89   -0.442061   -0.399581  0.00439212
          90   -0.465138   -0.400309   0.0044033
          91    -0.42616   -0.400593  0.00436407
          92   -0.419846   -0.400803  0.00432165
          93   -0.421746   -0.401028  0.00428104
          94   -0.443165   -0.401476   0.0042589
          95   -0.451456   -0.402002  0.00424644
          96   -0.403939   -0.402022  0.00420226
          97   -0.369159   -0.401683  0.00417257
          98   -0.373231   -0.401393  0.00414008
          99   -0.325699   -0.400629  0.00416827
         100   -0.305263   -0.399675  0.00423427
