#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.00088    -5.00088           0
           2    -5.04347    -5.02218    0.015061
           3    -5.02236    -5.02224   0.0100408
           4    -5.02431    -5.02275   0.0075439
           5     -4.9942    -5.01704  0.00790667
           6     -5.0175    -5.01712  0.00658926
           7    -5.00259    -5.01504  0.00596606
           8    -5.01032    -5.01445  0.00524938
           9    -5.00494     -5.0134  0.00477127
          10    -5.01242     -5.0133  0.00429515
          11    -4.98624    -5.01084  0.00455489
          12    -5.02268    -5.01183  0.00428092
          13    -5.04252    -5.01419  0.00455656
          14    -5.01172    -5.01401  0.00423451
          15    -4.99543    -5.01277  0.00412948
          16     -5.0256    -5.01357  0.00394845
          17    -5.03684    -5.01494  0.00394634
          18    -5.02962    -5.01576  0.00381046
          19    -5.02052    -5.01601  0.00361813
          20    -5.02014    -5.01622  0.00344311
          21     -5.0033     -5.0156  0.00333363
          22    -5.02525    -5.01604  0.00321084
          23    -5.01027    -5.01579  0.00308103
          24    -5.00478    -5.01533  0.00298661
          25    -5.01197     -5.0152  0.00287016
          26    -5.02038    -5.01539   0.0027667
          27    -5.01756    -5.01547   0.0026654
          28    -5.01059     -5.0153  0.00257591
          29    -5.02943    -5.01579  0.00253271
          30    -5.00948    -5.01558    0.002457
          31    -5.02607    -5.01592  0.00240093
          32    -5.01487    -5.01588  0.00232613
          33    -4.99349     -5.0152  0.00235256
          34    -5.00189    -5.01481  0.00231573
          35    -5.00962    -5.01466  0.00225431
          36    -5.03577    -5.01525  0.00226664
          37    -5.00088    -5.01486  0.00223842
          38    -4.99987    -5.01447  0.00221402
          39    -5.01735    -5.01454  0.00215849
          40    -5.02162    -5.01472  0.00211177
          41    -5.03523    -5.01522  0.00211868
          42    -5.01399    -5.01519  0.00206844
          43    -5.01227    -5.01512  0.00202145
          44    -5.00618    -5.01492  0.00198569
          45    -5.00243    -5.01464  0.00196087
          46    -5.04137    -5.01522  0.00200249
          47    -5.00747    -5.01506  0.00196667
          48    -5.01298    -5.01501  0.00192617
          49    -5.02136    -5.01514  0.00189121
          50     -5.0041    -5.01492  0.00186625
          51    -5.00993    -5.01482  0.00183221
          52    -5.01904    -5.01491  0.00179877
          53    -5.03587     -5.0153   0.0018078
          54    -5.01841    -5.01536  0.00177524
          55    -5.00575    -5.01518  0.00175154
          56    -5.01346    -5.01515  0.00172053
          57    -5.04148    -5.01561  0.00175126
          58    -5.02217    -5.01573  0.00172471
          59    -5.02355    -5.01586  0.00170057
          60    -5.02014    -5.01593  0.00167373
          61    -4.99605    -5.01561  0.00167774
          62    -5.01621    -5.01562   0.0016507
          63    -5.04238    -5.01604  0.00167829
          64    -5.00372    -5.01585  0.00166306
          65    -5.01695    -5.01586  0.00163756
          66    -5.02138    -5.01595  0.00161488
          67    -5.00952    -5.01585  0.00159362
          68    -5.04804    -5.01633  0.00163899
          69    -5.01156    -5.01626  0.00161669
          70    -4.99937    -5.01602  0.00161148
          71    -5.01967    -5.01607  0.00158961
          72    -5.03991     -5.0164  0.00160166
          73     -5.0176    -5.01641  0.00157981
          74    -5.01695    -5.01642  0.00155848
          75    -5.00736     -5.0163  0.00154237
          76    -5.01459    -5.01628  0.00152224
          77     -5.0269    -5.01642  0.00150872
          78    -5.00777    -5.01631  0.00149344
          79    -5.01971    -5.01635  0.00147515
          80    -5.01689    -5.01636  0.00145673
          81    -5.03303    -5.01656  0.00145322
          82    -5.00093    -5.01637  0.00144794
          83    -5.02027    -5.01642  0.00143126
          84    -5.03684    -5.01666  0.00143472
          85      -5.038    -5.01691  0.00143964
          86    -5.01208    -5.01686  0.00142399
          87    -4.98855    -5.01653  0.00144431
          88    -5.02841    -5.01667  0.00143419
          89    -4.99223    -5.01639  0.00144412
          90    -5.01755     -5.0164  0.00142813
          91    -5.02801    -5.01653  0.00141813
          92    -5.01337     -5.0165  0.00140313
          93    -4.99673    -5.01628  0.00140405
          94    -5.01799     -5.0163  0.00138923
          95     -5.0229    -5.01637  0.00137634
          96    -4.99953     -5.0162  0.00137314
          97     -5.0363     -5.0164  0.00137454
          98    -4.99033    -5.01614  0.00138602
          99    -5.01835    -5.01616   0.0013722
         100    -4.99512    -5.01595  0.00137451
