#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.6522     -6.6522           0
           2    -6.65204    -6.65212  5.5161e-05
           3    -6.65389    -6.65271  0.00048358
           4    -6.65336    -6.65287 0.000388663
           5    -6.65477    -6.65325 0.000460558
           6    -6.65079    -6.65284 0.000535846
           7    -6.65608    -6.65331 0.000628185
           8    -6.65736    -6.65381 0.000725891
           9    -6.65283     -6.6537 0.000653348
          10     -6.6538    -6.65371 0.000588081
          11    -6.65284    -6.65363 0.000539947
          12    -6.65337    -6.65361 0.000495398
          13    -6.65682    -6.65386 0.000515003
          14     -6.6531     -6.6538 0.000481053
          15    -6.65394    -6.65381 0.000449067
          16     -6.6549    -6.65388 0.000426079
          17    -6.65386    -6.65388 0.000401017
          18    -6.65553    -6.65397 0.000389074
          19    -6.65326    -6.65393 0.000370401
          20    -6.65649    -6.65406 0.000373267
          21    -6.65283      -6.654  0.00036011
          22    -6.65334    -6.65397 0.000344997
          23    -6.65522    -6.65403 0.000334227
          24    -6.65108     -6.6539  0.00034216
          25    -6.65355    -6.65389 0.000328774
          26     -6.6518    -6.65381 0.000325809
          27    -6.65565    -6.65388 0.000320775
          28    -6.65449     -6.6539 0.000310069
          29    -6.65494    -6.65394 0.000301434
          30    -6.65325    -6.65391 0.000292239
          31    -6.65448    -6.65393 0.000283375
          32    -6.65445    -6.65395 0.000274982
          33    -6.65239     -6.6539 0.000270644
          34     -6.6561    -6.65396 0.000270281
          35    -6.65475    -6.65399 0.000263482
          36    -6.65424    -6.65399 0.000256257
          37    -6.65475    -6.65401 0.000250153
          38    -6.65339      -6.654 0.000244114
          39    -6.65381    -6.65399 0.000237903
          40    -6.65707    -6.65407 0.000244107
          41    -6.65347    -6.65406 0.000238588
          42    -6.65406    -6.65406 0.000232908
          43    -6.65566    -6.65409 0.000230448
          44     -6.6535    -6.65408 0.000225602
          45     -6.6542    -6.65408 0.000220605
          46    -6.65399    -6.65408 0.000215819
          47    -6.65371    -6.65407 0.000211374
          48    -6.65264    -6.65404 0.000209054
          49    -6.65156    -6.65399  0.00021085
          50    -6.65449      -6.654 0.000206868
          51    -6.65529    -6.65403  0.00020436
          52    -6.65262      -6.654 0.000202209
          53    -6.65666    -6.65405 0.000204532
          54    -6.65607    -6.65409 0.000204131
          55    -6.65116    -6.65403 0.000207254
          56    -6.65375    -6.65403 0.000203616
          57    -6.65448    -6.65404 0.000200195
          58    -6.65483    -6.65405  0.00019721
          59    -6.65389    -6.65405 0.000193886
          60    -6.65468    -6.65406 0.000190941
          61    -6.65544    -6.65408 0.000189147
          62    -6.65447    -6.65409 0.000186199
          63    -6.64891    -6.65401 0.000200584
          64    -6.65494    -6.65402 0.000197976
          65    -6.65278      -6.654 0.000195847
          66    -6.65477    -6.65401 0.000193225
          67    -6.65443    -6.65402 0.000190444
          68    -6.65476    -6.65403 0.000187951
          69    -6.65246    -6.65401 0.000186602
          70    -6.65465    -6.65402 0.000184163
          71    -6.65202    -6.65399 0.000183694
          72    -6.65825    -6.65405 0.000190451
          73    -6.65462    -6.65405 0.000188005
          74    -6.65368    -6.65405 0.000185532
          75    -6.65241    -6.65403 0.000184335
          76    -6.65647    -6.65406 0.000184698
          77     -6.6522    -6.65404 0.000183869
          78    -6.65611    -6.65406 0.000183428
          79    -6.65374    -6.65406 0.000181151
          80    -6.65306    -6.65405 0.000179313
          81    -6.65513    -6.65406 0.000177601
          82    -6.65347    -6.65405 0.000175582
          83    -6.65608    -6.65408 0.000175155
          84    -6.65229    -6.65406 0.000174356
          85    -6.65529    -6.65407 0.000172906
          86    -6.65379    -6.65407 0.000170927
          87    -6.65502    -6.65408 0.000169311
          88    -6.65458    -6.65408 0.000167481
          89    -6.64992    -6.65404 0.000172014
          90    -6.65395    -6.65404 0.000170105
          91    -6.65072      -6.654 0.000172097
          92    -6.65517    -6.65401 0.000170693
          93     -6.6538    -6.65401 0.000168873
          94    -6.65414    -6.65401 0.000167082
          95    -6.65461    -6.65402 0.000165443
          96     -6.6561    -6.65404 0.000165141
          97    -6.65236    -6.65402 0.000164343
          98    -6.65532    -6.65403   0.0001632
          99    -6.65366    -6.65403 0.000161596
         100    -6.65351    -6.65403 0.000160062
