#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0523858   0.0523858           0
           2   0.0536895   0.0530377 0.000460952
           3   0.0495615   0.0518789 0.000994734
           4     0.05333   0.0522417 0.000809504
           5   0.0508578   0.0519649 0.000693308
           6   0.0504243   0.0517082 0.000623493
           7    0.052469   0.0518169 0.000543813
           8   0.0548925   0.0522013 0.000596446
           9   0.0481861   0.0517552 0.000676762
          10     0.05116   0.0516957 0.000611698
          11   0.0539368   0.0518994 0.000589043
          12   0.0540408   0.0520778 0.000566342
          13   0.0529476   0.0521448 0.000526714
          14   0.0529285   0.0522007 0.000492058
          15   0.0517437   0.0521703 0.000460197
          16   0.0518846   0.0521524  0.00043178
          17   0.0506175   0.0520621 0.000415715
          18   0.0528162    0.052104 0.000394725
          19   0.0506848   0.0520293 0.000380951
          20   0.0511421    0.051985 0.000364477
          21   0.0512176   0.0519484 0.000348948
          22    0.051659   0.0519353 0.000333335
          23   0.0511092   0.0518994 0.000320771
          24   0.0520806   0.0519069 0.000307494
          25   0.0556545   0.0520568 0.000329714
          26   0.0505855   0.0520002 0.000321853
          27   0.0524576   0.0520172 0.000310378
          28   0.0514557   0.0519971  0.00029994
          29   0.0530174   0.0520323 0.000291653
          30   0.0516924    0.052021 0.000282151
          31   0.0511808   0.0519939 0.000274348
          32     0.05108   0.0519653 0.000267257
          33   0.0527487    0.051989  0.00026021
          34   0.0505481   0.0519467 0.000255985
          35   0.0527292    0.051969 0.000249646
          36   0.0504625   0.0519272 0.000246194
          37   0.0529795   0.0519556 0.000241177
          38   0.0494237    0.051889 0.000243861
          39   0.0512262    0.051872 0.000238199
          40   0.0518716    0.051872 0.000232244
          41   0.0522127   0.0518803 0.000226728
          42   0.0524762   0.0518945 0.000221774
          43   0.0533239   0.0519277 0.000219093
          44    0.051313   0.0519137 0.000214559
          45   0.0524551   0.0519258 0.000210128
          46   0.0541293   0.0519737  0.00021095
          47   0.0505578   0.0519436 0.000208601
          48   0.0511207   0.0519264 0.000204959
          49   0.0528521   0.0519453 0.000201645
          50   0.0517285    0.051941 0.000197658
          51   0.0540267   0.0519819 0.000197968
          52   0.0543823    0.052028 0.000199471
          53   0.0510479   0.0520095 0.000196562
          54   0.0547269   0.0520599  0.00019926
          55   0.0505607   0.0520326 0.000197492
          56   0.0489177    0.051977 0.000201647
          57   0.0527912   0.0519913 0.000198614
          58   0.0532538    0.052013 0.000196379
          59   0.0539827   0.0520464 0.000195868
          60   0.0518967   0.0520439 0.000192619
          61   0.0529971   0.0520595 0.000190094
          62   0.0516215   0.0520525  0.00018716
          63   0.0512548   0.0520398 0.000184617
          64   0.0514819   0.0520311 0.000181938
          65   0.0494152   0.0519909 0.000183536
          66   0.0507862   0.0519726  0.00018166
          67   0.0529581   0.0519873 0.000179543
          68    0.052546   0.0519955 0.000177091
          69   0.0536249   0.0520191 0.000176092
          70   0.0497701    0.051987 0.000176483
          71   0.0499974    0.051959 0.000176208
          72   0.0511021   0.0519471 0.000174162
          73   0.0532966   0.0519656 0.000172754
          74   0.0546476   0.0520018  0.00017418
          75   0.0534248   0.0520208 0.000172888
          76   0.0545673   0.0520543  0.00017383
          77   0.0532065   0.0520693 0.000172215
          78    0.054182   0.0520964 0.000172124
          79   0.0526086   0.0521028 0.000170068
          80   0.0516449   0.0520971 0.000168038
          81   0.0520639   0.0520967 0.000165964
          82   0.0518666   0.0520939 0.000163964
          83   0.0520946   0.0520939 0.000161988
          84   0.0500382   0.0520694 0.000161898
          85   0.0514774   0.0520625 0.000160143
          86    0.050631   0.0520458 0.000159144
          87   0.0514067   0.0520385 0.000157484
          88   0.0536571   0.0520569 0.000156765
          89   0.0525472   0.0520624   0.0001551
          90   0.0514416   0.0520555  0.00015353
          91   0.0545266   0.0520826 0.000154226
          92   0.0527915   0.0520903 0.000152742
          93   0.0509992   0.0520786 0.000151549
          94   0.0504676   0.0520615 0.000150903
          95   0.0525637   0.0520668 0.000149407
          96   0.0534922   0.0520816 0.000148587
          97   0.0506747   0.0520671 0.000147761
          98    0.051452   0.0520608 0.000146387
          99   0.0522178   0.0520624 0.000144917
         100   0.0511116   0.0520529 0.000143779
