#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.10784     2.10784           0
           2     2.18196      2.1449    0.026208
           3     2.12605     2.13862   0.0182097
           4     2.12231     2.13454   0.0141063
           5     2.12113     2.13186   0.0115372
           6      2.0749     2.12236    0.012943
           7     2.11393     2.12116   0.0111499
           8     2.06901     2.11464   0.0115051
           9     2.09426     2.11238   0.0104472
          10     2.08612     2.10975  0.00972683
          11     2.16639      2.1149   0.0101139
          12     2.14983     2.11781  0.00968095
          13     2.16415     2.12138  0.00957014
          14     2.06835     2.11759   0.0096069
          15       2.101     2.11648  0.00902984
          16     2.18101     2.12052  0.00932277
          17     2.18037     2.12404  0.00941572
          18     2.12582     2.12413  0.00889314
          19     2.12344      2.1241  0.00842515
          20     2.09627     2.12271  0.00811797
          21     2.12119     2.12263  0.00773172
          22      2.2132     2.12675  0.00840512
          23      2.1237     2.12662  0.00804073
          24     2.10377     2.12567  0.00776185
          25     2.10087     2.12467  0.00751448
          26     2.19695     2.12745  0.00772247
          27     2.13596     2.12777  0.00744287
          28     2.13687     2.12809  0.00718414
          29     2.14164     2.12856  0.00695157
          30     2.16362     2.12973  0.00681739
          31     2.11232     2.12917  0.00662057
          32      2.1443     2.12964  0.00643054
          33     2.13864     2.12991  0.00624146
          34     2.14855     2.13046  0.00608191
          35     2.13483     2.13059  0.00590942
          36     2.15232     2.13119  0.00577602
          37     2.12497     2.13102  0.00562236
          38     2.07566     2.12957  0.00566002
          39     2.19293     2.13119  0.00574338
          40       2.152     2.13171   0.0056233
          41     2.14808     2.13211  0.00550031
          42     2.13637     2.13221  0.00537029
          43     2.12172     2.13197  0.00525094
          44     2.09312     2.13108  0.00520528
          45     2.12625     2.13098  0.00509072
          46      2.1628     2.13167  0.00502683
          47     2.11276     2.13127  0.00493594
          48     2.11525     2.13093  0.00484438
          49     2.15276     2.13138  0.00476595
          50     2.09223      2.1306  0.00473451
          51     2.14534     2.13088  0.00465049
          52     2.09679     2.13023  0.00460705
          53     2.11616     2.12996  0.00452776
          54     2.16443      2.1306  0.00448867
          55     2.15961     2.13113  0.00443795
          56     2.18326     2.13206  0.00445526
          57      2.1283     2.13199  0.00437758
          58     2.05731     2.13071  0.00448751
          59     2.10493     2.13027  0.00443266
          60     2.05885     2.12908  0.00451579
          61     2.16999     2.12975  0.00449128
          62     2.11655     2.12954  0.00442388
          63     2.14394     2.12977  0.00435957
          64     2.13511     2.12985  0.00429225
          65     2.11792     2.12967  0.00423013
          66     2.10495     2.12929  0.00418259
          67     2.15979     2.12975  0.00414486
          68     2.14814     2.13002  0.00409272
          69     2.11272     2.12977  0.00404107
          70     2.12985     2.12977  0.00398334
          71     2.17557     2.13041  0.00397914
          72     2.10496     2.13006  0.00393955
          73     2.12053     2.12993  0.00388775
          74     2.16412     2.13039  0.00386257
          75     2.19919     2.13131   0.0039185
          76     2.18836     2.13206  0.00393819
          77     2.09564     2.13159  0.00391533
          78     2.06762     2.13077   0.0039501
          79      2.1939     2.13156  0.00398011
          80       2.076     2.13087  0.00399051
          81     2.09826     2.13047   0.0039615
          82     2.16674     2.13091   0.0039378
          83     2.15163     2.13116  0.00389826
          84      2.1252     2.13109   0.0038525
          85     2.06553     2.13032  0.00388361
          86     2.11606     2.13015  0.00384199
          87     2.11825     2.13001  0.00380027
          88     2.14007     2.13013   0.0037588
          89     2.18509     2.13075  0.00376695
          90     2.13534      2.1308  0.00372544
          91     2.16799     2.13121  0.00370685
          92     2.08931     2.13075  0.00369443
          93     2.14147     2.13087   0.0036565
          94     2.15244      2.1311   0.0036248
          95     2.19474     2.13177  0.00364803
          96     2.10264     2.13146  0.00362263
          97     2.13309     2.13148  0.00358532
          98     2.08437       2.131  0.00358082
          99     2.14928     2.13118   0.0035494
         100     2.10772     2.13095  0.00352165
