#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.65515     9.65515           0
           2     9.65409     9.65462 0.000375124
           3     9.66558     9.65827  0.00299294
           4     9.65749     9.65808  0.00225105
           5     9.64487     9.65544  0.00297049
           6     9.66424      9.6569  0.00281433
           7     9.64253     9.65485   0.0030717
           8     9.64915     9.65414  0.00276912
           9     9.65559      9.6543  0.00246616
          10     9.64687     9.65356  0.00232887
          11     9.65377     9.65358  0.00211724
          12     9.65479     9.65368  0.00194323
          13     9.64237     9.65281  0.00197895
          14      9.6562     9.65305  0.00185238
          15     9.65369     9.65309  0.00172939
          16     9.64118     9.65235  0.00177424
          17     9.65368     9.65243  0.00167159
          18     9.64676     9.65211  0.00160812
          19     9.65405     9.65221  0.00152671
          20     9.64381     9.65179  0.00150705
          21       9.657     9.65204   0.0014555
          22     9.66831     9.65278  0.00156599
          23     9.64668     9.65252   0.0015202
          24     9.66734     9.65313  0.00157732
          25     9.64526     9.65282  0.00154536
          26      9.6711     9.65352   0.0016381
          27     9.64575     9.65323  0.00160254
          28     9.64843     9.65306  0.00155446
          29     9.66502     9.65347  0.00155463
          30     9.66175     9.65375  0.00152709
          31     9.65737     9.65387   0.0014823
          32     9.66313     9.65416    0.001464
          33     9.65808     9.65428  0.00142445
          34     9.64056     9.65387  0.00143855
          35     9.64127     9.65351  0.00144179
          36     9.65046     9.65343  0.00140423
          37     9.64312     9.65315  0.00139366
          38     9.65695     9.65325  0.00136056
          39     9.66369     9.65352  0.00135175
          40     9.64817     9.65338  0.00132455
          41     9.66638      9.6537  0.00132966
          42     9.65478     9.65373  0.00129825
          43     9.64931     9.65362  0.00127211
          44     9.65007     9.65354  0.00124575
          45     9.64495     9.65335  0.00123261
          46     9.64923     9.65326  0.00120906
          47     9.65921     9.65339  0.00118994
          48     9.65039     9.65333  0.00116679
          49     9.67177      9.6537  0.00120216
          50     9.64502     9.65353  0.00119059
          51     9.65023     9.65346    0.001169
          52     9.65978     9.65358  0.00115281
          53     9.65692     9.65365  0.00113277
          54     9.65989     9.65376  0.00111768
          55     9.66076     9.65389  0.00110458
          56     9.65868     9.65398  0.00108815
          57      9.6546     9.65399  0.00106912
          58     9.64276     9.65379  0.00106808
          59     9.65062     9.65374  0.00105133
          60      9.6649     9.65393  0.00105013
          61     9.65355     9.65392  0.00103294
          62     9.64921     9.65384  0.00101907
          63     9.67575     9.65419  0.00106056
          64     9.63777     9.65393  0.00107457
          65     9.65019     9.65388  0.00105958
          66     9.65634     9.65391  0.00104418
          67     9.67089     9.65417  0.00105889
          68     9.64677     9.65406  0.00104889
          69     9.66038     9.65415  0.00103769
          70     9.65071      9.6541  0.00102403
          71     9.66692     9.65428  0.00102541
          72     9.63247     9.65398  0.00105496
          73     9.65144     9.65394  0.00104109
          74     9.66024     9.65403  0.00103049
          75     9.65659     9.65406  0.00101732
          76     9.64112     9.65389  0.00101809
          77     9.65353     9.65389  0.00100488
          78     9.65168     9.65386 0.000992394
          79     9.65423     9.65386 0.000979844
          80       9.661     9.65395 0.000971643
          81     9.65946     9.65402 0.000962026
          82     9.64993     9.65397  0.00095159
          83      9.6477      9.6539  0.00094312
          84      9.6665     9.65405 0.000943747
          85     9.64288     9.65392  0.00094174
          86     9.65917     9.65398 0.000932768
          87     9.65603       9.654 0.000922345
          88     9.65519     9.65401 0.000911962
          89     9.66802     9.65417 0.000915186
          90     9.66838     9.65433 0.000918527
          91     9.67169     9.65452 0.000928026
          92     9.65789     9.65456 0.000918662
          93     9.64627     9.65447 0.000913096
          94     9.65053     9.65442 0.000904343
          95      9.6513     9.65439 0.000895422
          96     9.63924     9.65423 0.000899894
          97     9.65208     9.65421 0.000890891
          98     9.64004     9.65407 0.000893459
          99     9.66655     9.65419 0.000893285
         100      9.6501     9.65415 0.000885287
