#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.20976     1.20976           0
           2     1.25524      1.2325    0.016079
           3     1.25652     1.24051   0.0125558
           4      1.2287     1.23755  0.00975764
           5     1.23952     1.23795  0.00781404
           6     1.21509     1.23414  0.00738204
           7     1.20794      1.2304  0.00721437
           8     1.19294     1.22571  0.00768288
           9     1.19634     1.22245  0.00749065
          10     1.20785     1.22099  0.00688236
          11     1.21854     1.22077  0.00626031
          12     1.22999     1.22153  0.00578559
          13     1.22088     1.22148  0.00534077
          14     1.23278     1.22229  0.00501989
          15     1.25335     1.22436  0.00509437
          16     1.21797     1.22396  0.00479159
          17     1.24156       1.225  0.00462016
          18     1.25061     1.22642  0.00457732
          19     1.25046     1.22769  0.00450792
          20     1.24221     1.22841  0.00434059
          21     1.22299     1.22815  0.00414156
          22       1.239     1.22865  0.00398256
          23     1.27102     1.23049  0.00421411
          24     1.25834     1.23165  0.00419522
          25     1.22015     1.23119  0.00405256
          26      1.2277     1.23106  0.00389891
          27     1.26194      1.2322  0.00391866
          28     1.28359     1.23403  0.00418653
          29     1.24142     1.23429  0.00404991
          30     1.26118     1.23519  0.00401288
          31     1.24283     1.23543    0.003891
          32     1.23262     1.23534  0.00377039
          33     1.23809     1.23543  0.00365705
          34     1.23021     1.23527  0.00355271
          35     1.24695     1.23561  0.00346685
          36      1.2471     1.23593   0.0033852
          37     1.26321     1.23666  0.00337308
          38     1.24762     1.23695  0.00329662
          39     1.23575     1.23692  0.00321224
          40     1.23822     1.23695  0.00313209
          41     1.23369     1.23687  0.00305671
          42     1.24548     1.23708  0.00299079
          43     1.26827      1.2378  0.00300791
          44     1.26788     1.23849  0.00301623
          45     1.21921     1.23806  0.00297946
          46     1.20456     1.23733  0.00300238
          47     1.22827     1.23714  0.00294469
          48     1.23562     1.23711  0.00288351
          49     1.21338     1.23662  0.00286505
          50     1.19441     1.23578   0.0029295
          51     1.21744     1.23542  0.00289404
          52     1.19087     1.23456  0.00296247
          53     1.19213     1.23376  0.00301279
          54     1.21104     1.23334  0.00298623
          55     1.21926     1.23309  0.00294289
          56     1.22057     1.23286  0.00289881
          57     1.23517      1.2329  0.00284823
          58     1.24896     1.23318  0.00281255
          59     1.29795     1.23428  0.00297139
          60     1.29051     1.23521  0.00306613
          61     1.27438     1.23586  0.00308234
          62     1.26458     1.23632  0.00306725
          63     1.25483     1.23661  0.00303261
          64     1.25427     1.23689  0.00299774
          65     1.25876     1.23723  0.00297044
          66     1.26227     1.23761  0.00294956
          67     1.23355     1.23754  0.00290616
          68     1.22042     1.23729  0.00287431
          69     1.23373     1.23724  0.00283312
          70     1.29458     1.23806  0.00290863
          71     1.31407     1.23913  0.00305834
          72     1.31011     1.24012  0.00317075
          73     1.30902     1.24106   0.0032648
          74     1.27672     1.24154  0.00325604
          75     1.26878     1.24191  0.00323282
          76     1.27386     1.24233  0.00321751
          77     1.24745     1.24239  0.00317641
          78     1.24658     1.24245  0.00313614
          79     1.27584     1.24287   0.0031248
          80     1.30354     1.24363  0.00317645
          81     1.26369     1.24388  0.00314687
          82     1.23826     1.24381  0.00310924
          83       1.271     1.24413    0.003089
          84     1.27349     1.24448  0.00307193
          85     1.24233     1.24446  0.00303589
          86     1.23395     1.24434  0.00300305
          87     1.22703     1.24414  0.00297511
          88     1.24296     1.24412  0.00294133
          89     1.27272     1.24445  0.00292578
          90      1.2881     1.24493   0.0029332
          91     1.26212     1.24512  0.00290705
          92      1.2579     1.24526  0.00287877
          93     1.25914     1.24541  0.00285168
          94     1.27347     1.24571  0.00283692
          95     1.27902     1.24606  0.00282865
          96     1.24731     1.24607  0.00279921
          97     1.22415     1.24584  0.00277947
          98     1.22684     1.24565  0.00275786
          99      1.1952     1.24514  0.00277668
         100     1.18155      1.2445  0.00282078
