#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10309     1.10309           0
           2     1.13061     1.11685  0.00972847
           3     1.11721     1.11697  0.00648641
           4     1.11794     1.11721  0.00486933
           5     1.09847     1.11346  0.00513983
           6     1.11409     1.11357  0.00428427
           7     1.10453     1.11228  0.00386205
           8       1.109     1.11187  0.00340089
           9     1.10573     1.11118  0.00309063
          10     1.11056     1.11112  0.00278219
          11     1.09307     1.10948  0.00297421
          12     1.11744     1.11014  0.00279934
          13     1.13013     1.11168  0.00297633
          14     1.11023     1.11158  0.00276555
          15     1.09909     1.11075  0.00270352
          16     1.11864     1.11124  0.00257917
          17     1.12626     1.11212  0.00257433
          18     1.12254      1.1127  0.00249548
          19     1.11616     1.11288  0.00237078
          20     1.11613     1.11305   0.0022578
          21     1.10529     1.11268  0.00218024
          22     1.11884     1.11296  0.00209904
          23       1.109     1.11278  0.00201481
          24     1.10623     1.11251  0.00194929
          25     1.10997     1.11241  0.00187397
          26     1.11618     1.11255  0.00180751
          27     1.11406     1.11261  0.00174142
          28     1.10926     1.11249  0.00168334
          29      1.1214      1.1128  0.00165312
          30     1.10917     1.11268  0.00160244
          31     1.11925     1.11289   0.0015647
          32     1.11227     1.11287  0.00151592
          33     1.09913     1.11245  0.00152606
          34     1.10349     1.11219  0.00150377
          35     1.10831     1.11208  0.00146487
          36     1.12541     1.11245  0.00147022
          37     1.10291     1.11219  0.00145291
          38     1.10277     1.11194  0.00143566
          39     1.11412       1.112  0.00139993
          40     1.11657     1.11211  0.00136959
          41     1.12595     1.11245  0.00137714
          42      1.1118     1.11244  0.00134443
          43     1.10967     1.11237  0.00131471
          44     1.10584     1.11222  0.00129318
          45      1.1045     1.11205  0.00127577
          46     1.12928     1.11243  0.00130185
          47     1.10757     1.11232  0.00127824
          48     1.11064     1.11229  0.00125209
          49      1.1164     1.11237  0.00122935
          50     1.10502     1.11222  0.00121352
          51     1.10806     1.11214  0.00119247
          52      1.1143     1.11218  0.00117026
          53     1.12621     1.11245  0.00117774
          54     1.11475     1.11249   0.0011567
          55     1.10677     1.11239  0.00114034
          56     1.11076     1.11236  0.00112035
          57     1.12934     1.11266  0.00113961
          58      1.1166     1.11272  0.00112199
          59     1.11858     1.11282  0.00110735
          60     1.11548     1.11287  0.00108978
          61     1.10016     1.11266  0.00109164
          62     1.11299     1.11266  0.00107405
          63     1.13073     1.11295  0.00109461
          64     1.10459     1.11282  0.00108527
          65     1.11318     1.11283  0.00106859
          66     1.11618     1.11288  0.00105361
          67     1.10864     1.11281  0.00103978
          68     1.13344     1.11312  0.00106783
          69     1.10989     1.11307  0.00105338
          70     1.10243     1.11292  0.00104924
          71     1.11519     1.11295  0.00103494
          72     1.12884     1.11317  0.00104384
          73      1.1144     1.11319  0.00102968
          74     1.11337     1.11319  0.00101577
          75     1.10701     1.11311  0.00100556
          76     1.11216      1.1131 0.000992406
          77     1.12055     1.11319  0.00098423
          78     1.10739     1.11312 0.000974423
          79     1.11498     1.11314 0.000962374
          80     1.11275     1.11314 0.000950357
          81      1.1242     1.11327 0.000948389
          82     1.10394     1.11316 0.000943629
          83     1.11609     1.11319  0.00093292
          84     1.12731     1.11336 0.000936817
          85     1.12737     1.11353 0.000940177
          86     1.11059     1.11349 0.000929866
          87     1.09474     1.11328 0.000943839
          88     1.12152     1.11337 0.000937755
          89     1.09721     1.11319 0.000944635
          90     1.11359     1.11319  0.00093415
          91     1.12026     1.11327 0.000927107
          92     1.11117     1.11325  0.00091731
          93     1.10106     1.11312 0.000916765
          94     1.11432     1.11313   0.0009071
          95     1.11719     1.11317  0.00089856
          96     1.10255     1.11306 0.000895988
          97     1.12592      1.1132 0.000896501
          98     1.09559     1.11302 0.000905176
          99     1.11397     1.11303 0.000896084
         100     1.10001      1.1129 0.000896529
