#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.811872    0.811872           0
           2    0.812617    0.812244 0.000263503
           3    0.812057    0.812182 0.000182918
           4    0.813063    0.812402 0.000234974
           5    0.813126    0.812547 0.000228278
           6    0.813405     0.81269 0.000230672
           7    0.813443    0.812798 0.000221402
           8    0.813633    0.812902 0.000216981
           9     0.81359    0.812979 0.000205897
          10    0.813546    0.813035 0.000192958
          11    0.812678    0.813003 0.000178127
          12    0.813819    0.813071 0.000175788
          13    0.812276     0.81301 0.000172566
          14    0.813375    0.813036 0.000162201
          15    0.814381    0.813125 0.000174422
          16    0.813582    0.813154 0.000165838
          17    0.814225    0.813217 0.000167627
          18     0.81363     0.81324  0.00015988
          19    0.814564     0.81331 0.000165954
          20    0.814387    0.813364 0.000166174
          21    0.815832    0.813481 0.000195453
          22    0.815428     0.81357 0.000205622
          23    0.814513    0.813611 0.000200731
          24    0.815167    0.813675 0.000202577
          25    0.815145    0.813734  0.00020282
          26     0.81532    0.813795  0.00020398
          27    0.817132    0.813919 0.000230842
          28    0.816079    0.813996 0.000235142
          29    0.816434     0.81408 0.000241598
          30    0.816336    0.814155 0.000244969
          31    0.817449    0.814261 0.000259085
          32    0.817015    0.814347 0.000264889
          33    0.816222    0.814404 0.000262882
          34    0.815609     0.81444 0.000257528
          35     0.81664    0.814503 0.000257727
          36    0.815495     0.81453 0.000252037
          37    0.816379     0.81458  0.00025013
          38    0.815689    0.814609 0.000245244
          39    0.816563    0.814659 0.000244018
          40    0.817538    0.814731 0.000248306
          41    0.817122     0.81479 0.000249003
          42    0.816827    0.814838 0.000247755
          43    0.817517    0.814901 0.000249705
          44    0.816358    0.814934 0.000246217
          45    0.815817    0.814953 0.000241527
          46    0.816268    0.814982 0.000237962
          47    0.816345    0.815011  0.00023466
          48    0.817117    0.815055 0.000233839
          49    0.817532    0.815105 0.000234467
          50    0.817627    0.815156 0.000235138
          51    0.816541    0.815183 0.000232091
          52    0.816731    0.815213 0.000229529
          53    0.817662    0.815259 0.000229805
          54    0.817391    0.815298 0.000228915
          55    0.817806    0.815344 0.000229249
          56    0.817226    0.815378 0.000227606
          57    0.816497    0.815397 0.000224458
          58    0.816898    0.815423 0.000222075
          59    0.817627     0.81546 0.000221432
          60    0.816825    0.815483 0.000218906
          61    0.817236    0.815512 0.000217196
          62     0.81722    0.815539 0.000215434
          63    0.817335    0.815568 0.000213891
          64    0.817088    0.815592 0.000211863
          65     0.81742     0.81562 0.000210462
          66    0.816366    0.815631 0.000207577
          67    0.816986    0.815651 0.000205462
          68    0.817276    0.815675 0.000203824
          69    0.818539    0.815717 0.000205051
          70    0.817256    0.815739 0.000203297
          71    0.817545    0.815764  0.00020202
          72    0.817523    0.815789 0.000200685
          73    0.818043    0.815819 0.000200298
          74    0.817167    0.815838 0.000198418
          75    0.816719    0.815849  0.00019612
          76    0.818072    0.815879 0.000195708
          77    0.818472    0.815912 0.000196043
          78    0.818335    0.815943 0.000195974
          79    0.817199    0.815959 0.000194137
          80    0.817641     0.81598 0.000192846
          81    0.818384     0.81601 0.000192735
          82    0.818475     0.81604 0.000192715
          83    0.817238    0.816055 0.000190933
          84    0.819094    0.816091 0.000192058
          85    0.818759    0.816122 0.000192348
          86    0.819055    0.816156 0.000193111
          87    0.818807    0.816187 0.000193279
          88    0.819362    0.816223 0.000194423
          89    0.819203    0.816256   0.0001951
          90    0.819527    0.816293 0.000196288
          91    0.819284    0.816325 0.000196864
          92    0.818658    0.816351  0.00019635
          93     0.81981    0.816388  0.00019773
          94    0.818794    0.816414 0.000197276
          95    0.818678    0.816437 0.000196634
          96     0.81954     0.81647 0.000197223
          97    0.819425      0.8165 0.000197529
          98    0.819757    0.816533 0.000198289
          99    0.819267    0.816561 0.000198199
         100    0.820245    0.816598 0.000199611
