#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.46705     1.46705           0
           2      1.4671     1.46708 1.46372e-05
           3     1.46703     1.46706 1.52293e-05
           4     1.46687     1.46701 4.38121e-05
           5     1.46718     1.46705 4.63278e-05
           6      1.4672     1.46707 4.51588e-05
           7     1.46712     1.46708 3.92171e-05
           8     1.46694     1.46706  3.7833e-05
           9     1.46699     1.46705 3.44233e-05
          10     1.46721     1.46707  3.4482e-05
          11     1.46721     1.46708  3.3637e-05
          12     1.46712     1.46709 3.10203e-05
          13     1.46715     1.46709  2.9078e-05
          14     1.46712     1.46709 2.70943e-05
          15     1.46721      1.4671 2.62982e-05
          16     1.46721     1.46711 2.55004e-05
          17     1.46716     1.46711 2.41581e-05
          18     1.46706     1.46711 2.30073e-05
          19     1.46721     1.46711 2.24522e-05
          20     1.46729     1.46712  2.2962e-05
          21     1.46718     1.46712 2.20368e-05
          22     1.46714     1.46713 2.10543e-05
          23     1.46724     1.46713 2.07057e-05
          24       1.467     1.46712 2.05219e-05
          25     1.46706     1.46712 1.98494e-05
          26     1.46712     1.46712 1.90869e-05
          27     1.46711     1.46712 1.83822e-05
          28     1.46698     1.46712 1.83843e-05
          29     1.46704     1.46711 1.79505e-05
          30     1.46707     1.46711 1.74016e-05
          31     1.46698     1.46711 1.73352e-05
          32     1.46723     1.46711 1.71772e-05
          33     1.46725     1.46712 1.71358e-05
          34     1.46711     1.46712 1.66321e-05
          35     1.46704     1.46711 1.63081e-05
          36     1.46699     1.46711 1.62328e-05
          37     1.46719     1.46711 1.59449e-05
          38     1.46724     1.46712 1.58823e-05
          39     1.46724     1.46712 1.57722e-05
          40     1.46719     1.46712 1.54771e-05
          41     1.46695     1.46712 1.56381e-05
          42     1.46717     1.46712 1.53268e-05
          43     1.46722     1.46712 1.51357e-05
          44      1.4673     1.46712 1.53305e-05
          45     1.46717     1.46713 1.50177e-05
          46     1.46715     1.46713 1.47035e-05
          47     1.46699     1.46712 1.46809e-05
          48     1.46713     1.46712 1.43755e-05
          49     1.46705     1.46712 1.41543e-05
          50      1.4671     1.46712 1.38775e-05
          51      1.4671     1.46712 1.36129e-05
          52     1.46725     1.46712   1.358e-05
          53     1.46717     1.46712 1.33584e-05
          54     1.46708     1.46712 1.31372e-05
          55      1.4672     1.46713 1.29721e-05
          56     1.46718     1.46713 1.27808e-05
          57      1.4671     1.46713 1.25647e-05
          58     1.46695     1.46712  1.2722e-05
          59     1.46689     1.46712 1.30878e-05
          60     1.46708     1.46712 1.28891e-05
          61     1.46692     1.46711 1.30828e-05
          62     1.46699     1.46711 1.30204e-05
          63     1.46713     1.46711 1.28157e-05
          64     1.46711     1.46711 1.26157e-05
          65     1.46695     1.46711 1.26577e-05
          66     1.46699     1.46711 1.25949e-05
          67      1.4671     1.46711 1.24078e-05
          68     1.46707     1.46711 1.22371e-05
          69     1.46698     1.46711 1.22003e-05
          70     1.46714     1.46711  1.2037e-05
          71     1.46717     1.46711 1.18989e-05
          72     1.46714     1.46711 1.17399e-05
          73     1.46702     1.46711 1.16463e-05
          74     1.46709     1.46711 1.14924e-05
          75     1.46718     1.46711 1.13801e-05
          76     1.46718     1.46711  1.1276e-05
          77     1.46717     1.46711 1.11551e-05
          78     1.46715     1.46711 1.10227e-05
          79     1.46722     1.46711 1.09724e-05
          80     1.46712     1.46711 1.08357e-05
          81     1.46706     1.46711 1.07209e-05
          82     1.46705     1.46711 1.06186e-05
          83     1.46712     1.46711 1.04914e-05
          84     1.46716     1.46711 1.03868e-05
          85     1.46714     1.46711 1.02704e-05
          86     1.46705     1.46711 1.01745e-05
          87     1.46705     1.46711 1.00805e-05
          88     1.46705     1.46711 9.98648e-06
          89     1.46702     1.46711 9.92889e-06
          90     1.46721     1.46711 9.88894e-06
          91      1.4673     1.46711 1.00073e-05
          92     1.46711     1.46711 9.89851e-06
          93     1.46704     1.46711 9.82305e-06
          94     1.46714     1.46711 9.72304e-06
          95     1.46709     1.46711 9.62212e-06
          96     1.46717     1.46711 9.54173e-06
          97     1.46722     1.46711 9.51082e-06
          98     1.46719     1.46711 9.44599e-06
          99     1.46711     1.46711 9.35062e-06
         100     1.46717     1.46711 9.27377e-06
