#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.38306    -3.38306           0
           2    -3.38305    -3.38306 4.56618e-06
           3    -3.38315    -3.38309 2.50353e-05
           4    -3.38423    -3.38337 0.000248181
           5    -3.38332    -3.38336 0.000198798
           6    -3.38338    -3.38337 0.000165695
           7    -3.38303    -3.38332 0.000148935
           8    -3.38383    -3.38338  0.00014353
           9    -3.38396    -3.38345 0.000141081
          10    -3.38422    -3.38352 0.000146629
          11    -3.38392    -3.38356 0.000137546
          12    -3.38295    -3.38351 0.000135142
          13    -3.38342     -3.3835  0.00012492
          14     -3.3832    -3.38348 0.000117811
          15    -3.38362    -3.38349 0.000110341
          16    -3.38257    -3.38343 0.000117593
          17    -3.38272    -3.38339  0.00011791
          18    -3.38334    -3.38339 0.000111398
          19    -3.38266    -3.38335 0.000112001
          20    -3.38348    -3.38336 0.000106607
          21     -3.3828    -3.38333 0.000104752
          22    -3.38203    -3.38327 0.000115452
          23    -3.38273    -3.38325 0.000112785
          24    -3.38237    -3.38321 0.000113873
          25    -3.38305     -3.3832 0.000109493
          26    -3.38332    -3.38321  0.00010538
          27    -3.38399    -3.38324 0.000105364
          28    -3.38384    -3.38326 0.000103784
          29     -3.3835    -3.38327 0.000100548
          30    -3.38339    -3.38327 9.72845e-05
          31    -3.38452    -3.38331 0.000102158
          32    -3.38445    -3.38335 0.000105015
          33    -3.38346    -3.38335 0.000101889
          34    -3.38373    -3.38336 9.95047e-05
          35    -3.38401    -3.38338 9.83876e-05
          36    -3.38432    -3.38341 9.90848e-05
          37    -3.38439    -3.38343 9.99288e-05
          38    -3.38502    -3.38348 0.000105662
          39    -3.38399    -3.38349 0.000103771
          40    -3.38471    -3.38352 0.000105566
          41    -3.38421    -3.38354  0.00010433
          42    -3.38366    -3.38354 0.000101886
          43    -3.38382    -3.38355 9.97242e-05
          44    -3.38362    -3.38355 9.74734e-05
          45     -3.3837    -3.38355 9.53652e-05
          46    -3.38401    -3.38356 9.38075e-05
          47    -3.38506    -3.38359 9.70859e-05
          48    -3.38547    -3.38363 0.000102666
          49    -3.38562    -3.38367 0.000108316
          50    -3.38649    -3.38373 0.000119883
          51    -3.38545    -3.38376 0.000122193
          52    -3.38529    -3.38379 0.000123333
          53    -3.38554    -3.38382 0.000125325
          54    -3.38493    -3.38384 0.000124664
          55    -3.38466    -3.38386 0.000123272
          56    -3.38497    -3.38388 0.000122664
          57    -3.38462    -3.38389 0.000121205
          58    -3.38563    -3.38392 0.000122781
          59     -3.3862    -3.38396 0.000126642
          60    -3.38559    -3.38399 0.000127415
          61    -3.38493      -3.384 0.000126257
          62    -3.38503    -3.38402 0.000125296
          63    -3.38472    -3.38403 0.000123798
          64    -3.38488    -3.38404 0.000122579
          65    -3.38573    -3.38407 0.000123401
          66    -3.38572     -3.3841 0.000124043
          67    -3.38587    -3.38412 0.000124994
          68     -3.3853    -3.38414 0.000124349
          69    -3.38615    -3.38417 0.000125918
          70    -3.38541    -3.38419 0.000125365
          71    -3.38555    -3.38421 0.000125067
          72    -3.38541    -3.38422 0.000124449
          73    -3.38488    -3.38423 0.000123066
          74    -3.38455    -3.38424  0.00012148
          75    -3.38416    -3.38423 0.000119864
          76     -3.3839    -3.38423 0.000118369
          77    -3.38476    -3.38424 0.000117029
          78    -3.38435    -3.38424 0.000115537
          79    -3.38394    -3.38424 0.000114134
          80    -3.38343    -3.38422 0.000113155
          81    -3.38497    -3.38423 0.000112129
          82    -3.38465    -3.38424 0.000110875
          83    -3.38489    -3.38425 0.000109813
          84     -3.3843    -3.38425 0.000108508
          85    -3.38539    -3.38426 0.000108061
          86    -3.38488    -3.38427 0.000107046
          87    -3.38441    -3.38427 0.000105828
          88     -3.3847    -3.38427 0.000104736
          89     -3.3848    -3.38428 0.000103727
          90    -3.38461    -3.38428 0.000102639
          91    -3.38452    -3.38429 0.000101544
          92    -3.38573     -3.3843 0.000101646
          93    -3.38516    -3.38431 0.000100966
          94    -3.38514    -3.38432  0.00010028
          95    -3.38393    -3.38432 9.93062e-05
          96    -3.38444    -3.38432 9.82802e-05
          97    -3.38487    -3.38432 9.74289e-05
          98    -3.38532    -3.38433 9.69656e-05
          99     -3.3847    -3.38434 9.60575e-05
         100    -3.38515    -3.38435 9.54396e-05
