#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.4172     -5.4172           0
           2    -5.41654    -5.41687  0.00023262
           3     -5.4152    -5.41631 0.000481105
           4    -5.41467     -5.4159 0.000507307
           5    -5.41492     -5.4157 0.000442097
           6    -5.41446     -5.4155 0.000414151
           7    -5.41349    -5.41521 0.000443424
           8    -5.41328    -5.41497 0.000449029
           9    -5.41414    -5.41488 0.000408482
          10    -5.41423    -5.41481 0.000372696
          11    -5.41381    -5.41472 0.000349814
          12    -5.41398    -5.41466 0.000326102
          13    -5.41453    -5.41465 0.000301173
          14    -5.41394     -5.4146 0.000283885
          15    -5.41309     -5.4145 0.000282248
          16    -5.41241    -5.41437 0.000293277
          17    -5.41057    -5.41414 0.000350809
          18    -5.41125    -5.41398 0.000366202
          19    -5.41067    -5.41381  0.00038631
          20    -5.41027    -5.41363  0.00040559
          21    -5.40926    -5.41342 0.000436341
          22     -5.4094    -5.41324 0.000453225
          23    -5.40976    -5.41309 0.000458076
          24    -5.40817    -5.41288 0.000482668
          25     -5.4069    -5.41265 0.000519346
          26    -5.40623     -5.4124 0.000554926
          27     -5.4053    -5.41214 0.000593319
          28    -5.40414    -5.41185 0.000637128
          29    -5.40466     -5.4116 0.000661608
          30    -5.40426    -5.41136 0.000683361
          31    -5.40386    -5.41112 0.000702849
          32    -5.40419     -5.4109 0.000713471
          33    -5.40623    -5.41076 0.000705726
          34    -5.40637    -5.41063 0.000696664
          35    -5.40619     -5.4105 0.000688213
          36    -5.40548    -5.41036  0.00068306
          37    -5.40543    -5.41023 0.000677495
          38    -5.40578    -5.41011 0.000669725
          39    -5.40573       -5.41 0.000661895
          40    -5.40453    -5.40986 0.000659303
          41    -5.40361    -5.40971  0.00066062
          42    -5.40382    -5.40957 0.000659595
          43    -5.40424    -5.40945 0.000655821
          44    -5.40489    -5.40934 0.000649025
          45     -5.4048    -5.40924 0.000642418
          46    -5.40524    -5.40915 0.000634319
          47    -5.40453    -5.40906 0.000628401
          48    -5.40476    -5.40897 0.000621646
          49    -5.40337    -5.40885 0.000619358
          50    -5.40281    -5.40873 0.000618632
          51    -5.40243    -5.40861  0.00061873
          52    -5.40213    -5.40848 0.000619255
          53    -5.40224    -5.40837 0.000618669
          54    -5.40167    -5.40824 0.000619528
          55    -5.40121    -5.40811   0.0006213
          56    -5.40182      -5.408   0.0006203
          57    -5.40348    -5.40792 0.000614458
          58    -5.40332    -5.40784 0.000608967
          59     -5.4025    -5.40775 0.000605345
          60    -5.40316    -5.40768 0.000600065
          61    -5.40299     -5.4076 0.000595127
          62    -5.40254    -5.40752 0.000591086
          63    -5.40269    -5.40744 0.000586647
          64    -5.40224    -5.40736 0.000583087
          65    -5.40266    -5.40729 0.000578575
          66    -5.40245    -5.40721 0.000574435
          67    -5.40193    -5.40714 0.000571257
          68    -5.40097    -5.40704 0.000570009
          69    -5.40033    -5.40695 0.000569988
          70    -5.40099    -5.40686 0.000568167
          71    -5.40072    -5.40678 0.000566721
          72    -5.40083    -5.40669 0.000564844
          73    -5.40157    -5.40662 0.000561441
          74    -5.40009    -5.40653  0.00056076
          75    -5.39915    -5.40644 0.000561861
          76     -5.4002    -5.40635 0.000560433
          77    -5.40035    -5.40628 0.000558547
          78    -5.39929    -5.40619 0.000558529
          79    -5.39886    -5.40609 0.000559114
          80    -5.39903    -5.40601 0.000559054
          81    -5.40039    -5.40594  0.00055644
          82    -5.40104    -5.40588  0.00055285
          83    -5.39972     -5.4058 0.000551143
          84    -5.39941    -5.40573  0.00054981
          85    -5.39871    -5.40564 0.000549497
          86    -5.39774    -5.40555  0.00055074
          87    -5.39724    -5.40546 0.000552638
          88    -5.39725    -5.40536 0.000554175
          89    -5.39806    -5.40528 0.000553989
          90    -5.39711    -5.40519  0.00055522
          91    -5.39612    -5.40509 0.000557995
          92    -5.39592    -5.40499 0.000560764
          93    -5.39625     -5.4049  0.00056256
          94    -5.39564     -5.4048 0.000565133
          95    -5.39563     -5.4047 0.000567357
          96    -5.39579    -5.40461 0.000568985
          97    -5.39624    -5.40452 0.000569622
          98    -5.39613    -5.40444 0.000570214
          99    -5.39597    -5.40435 0.000570829
         100    -5.39567    -5.40426 0.000571688
