# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
6.463304e-02      0.000000e+00      0.000000e+00
1.292661e-01      0.000000e+00      0.000000e+00
1.938991e-01      0.000000e+00      0.000000e+00
2.585322e-01      0.000000e+00      0.000000e+00
3.231652e-01      0.000000e+00      0.000000e+00
3.877982e-01      0.000000e+00      0.000000e+00
4.524313e-01      0.000000e+00      0.000000e+00
5.170643e-01      0.000000e+00      0.000000e+00
5.816974e-01      0.000000e+00      0.000000e+00
6.463304e-01      0.000000e+00      0.000000e+00
7.109634e-01      0.000000e+00      0.000000e+00
7.755965e-01      0.000000e+00      0.000000e+00
8.402295e-01      9.758524e-04      4.565518e-05
9.048626e-01      1.477030e-01      5.519780e-04
9.694956e-01      1.061129e+00      1.639209e-03
1.034129e+00      2.038373e+00      2.741684e-03
1.098762e+00      2.270639e+00      2.865861e-03
1.163395e+00      2.084649e+00      2.660635e-03
1.228028e+00      1.831672e+00      2.046209e-03
1.292661e+00      1.614253e+00      1.820774e-03
1.357294e+00      1.452568e+00      1.612429e-03
1.421927e+00      1.335021e+00      1.301843e-03
1.486560e+00      1.250224e+00      1.246886e-03
1.551193e+00      1.185955e+00      1.078082e-03
1.615826e+00      1.143082e+00      1.029264e-03
1.680459e+00      1.111097e+00      1.050648e-03
1.745092e+00      1.090406e+00      9.318358e-04
1.809725e+00      1.076128e+00      8.753483e-04
1.874358e+00      1.065284e+00      8.300151e-04
1.938991e+00      1.060210e+00      8.241838e-04
2.003624e+00      1.057508e+00      7.556387e-04
2.068257e+00      1.054521e+00      6.868186e-04
2.132890e+00      1.052196e+00      8.057834e-04
2.197523e+00      1.047521e+00      6.965511e-04
2.262156e+00      1.041951e+00      6.925912e-04
2.326789e+00      1.037378e+00      7.278458e-04
2.391423e+00      1.031317e+00      6.829349e-04
2.456056e+00      1.026665e+00      6.286998e-04
2.520689e+00      1.020969e+00      5.654244e-04
2.585322e+00      1.017233e+00      5.999177e-04
2.649955e+00      1.013582e+00      5.780377e-04
2.714588e+00      1.009522e+00      5.506052e-04
2.779221e+00      1.006875e+00      5.027370e-04
2.843854e+00      1.005833e+00      5.549682e-04
2.908487e+00      1.003988e+00      5.592297e-04
2.973120e+00      1.001795e+00      5.188465e-04
3.037753e+00      9.997182e-01      5.378573e-04
3.102386e+00      9.978514e-01      4.674629e-04
3.167019e+00      9.974848e-01      4.914085e-04
3.231652e+00      9.957784e-01      4.285707e-04
3.296285e+00      9.960414e-01      4.292082e-04
3.360918e+00      9.944053e-01      4.450464e-04
3.425551e+00      9.941281e-01      4.513838e-04
3.490184e+00      9.929629e-01      4.161022e-04
3.554817e+00      9.924263e-01      4.461886e-04
3.619450e+00      9.921819e-01      4.401981e-04
3.684083e+00      9.912165e-01      3.906332e-04
3.748716e+00      9.905743e-01      3.855027e-04
3.813349e+00      9.901066e-01      3.923876e-04
3.877982e+00      9.898963e-01      3.700398e-04
3.942615e+00      9.897337e-01      3.634963e-04
4.007249e+00      9.889992e-01      3.747345e-04
4.071882e+00      9.884784e-01      3.503354e-04
4.136515e+00      9.888831e-01      3.288090e-04
4.201148e+00      9.886423e-01      3.433677e-04
4.265781e+00      9.879949e-01      3.624436e-04
4.330414e+00      9.882000e-01      3.387739e-04
4.395047e+00      9.883880e-01      3.175362e-04
4.459680e+00      9.881352e-01      3.045860e-04
4.524313e+00      9.868517e-01      3.298548e-04
4.588946e+00      9.868602e-01      3.081248e-04
4.653579e+00      9.872509e-01      3.052405e-04
4.718212e+00      9.871271e-01      3.096530e-04
4.782845e+00      9.868596e-01      2.996892e-04
4.847478e+00      9.869607e-01      2.968985e-04
4.912111e+00      9.873142e-01      3.099902e-04
4.976744e+00      9.871853e-01      2.853116e-04
5.041377e+00      9.867760e-01      2.752900e-04
5.106010e+00      9.869425e-01      2.941197e-04
5.170643e+00      9.860521e-01      2.657239e-04
5.235276e+00      9.869233e-01      3.050411e-04
5.299909e+00      9.862579e-01      2.683552e-04
5.364542e+00      9.861929e-01      2.684205e-04
5.429175e+00      9.860091e-01      2.538292e-04
5.493808e+00      9.863990e-01      2.478725e-04
5.558442e+00      9.862392e-01      2.737296e-04
5.623075e+00      9.863574e-01      2.607856e-04
5.687708e+00      9.858343e-01      2.636655e-04
5.752341e+00      9.862349e-01      2.414685e-04
5.816974e+00      9.863044e-01      2.387953e-04
5.881607e+00      9.862507e-01      2.387480e-04
5.946240e+00      9.857885e-01      2.387391e-04
6.010873e+00      9.858400e-01      2.618976e-04
6.075506e+00      9.859228e-01      2.470201e-04
6.140139e+00      9.860485e-01      2.453664e-04
6.204772e+00      9.859448e-01      2.274798e-04
6.269405e+00      9.861104e-01      2.266652e-04
6.334038e+00      9.858893e-01      2.185515e-04
6.398671e+00      9.859202e-01      2.141346e-04
