# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.564964e-02      0.000000e+00      0.000000e+00
5.129928e-02      0.000000e+00      0.000000e+00
7.694892e-02      0.000000e+00      0.000000e+00
1.025986e-01      0.000000e+00      0.000000e+00
1.282482e-01      0.000000e+00      0.000000e+00
1.538978e-01      0.000000e+00      0.000000e+00
1.795475e-01      0.000000e+00      0.000000e+00
2.051971e-01      0.000000e+00      0.000000e+00
2.308468e-01      0.000000e+00      0.000000e+00
2.564964e-01      0.000000e+00      0.000000e+00
2.821460e-01      0.000000e+00      0.000000e+00
3.077957e-01      0.000000e+00      0.000000e+00
3.334453e-01      0.000000e+00      0.000000e+00
3.590949e-01      0.000000e+00      0.000000e+00
3.847446e-01      0.000000e+00      0.000000e+00
4.103942e-01      0.000000e+00      0.000000e+00
4.360439e-01      0.000000e+00      0.000000e+00
4.616935e-01      0.000000e+00      0.000000e+00
4.873431e-01      0.000000e+00      0.000000e+00
5.129928e-01      0.000000e+00      0.000000e+00
5.386424e-01      0.000000e+00      0.000000e+00
5.642921e-01      0.000000e+00      0.000000e+00
5.899417e-01      0.000000e+00      0.000000e+00
6.155913e-01      0.000000e+00      0.000000e+00
6.412410e-01      0.000000e+00      0.000000e+00
6.668906e-01      0.000000e+00      0.000000e+00
6.925403e-01      0.000000e+00      0.000000e+00
7.181899e-01      0.000000e+00      0.000000e+00
7.438395e-01      0.000000e+00      0.000000e+00
7.694892e-01      0.000000e+00      0.000000e+00
7.951388e-01      0.000000e+00      0.000000e+00
8.207885e-01      0.000000e+00      0.000000e+00
8.464381e-01      1.507552e-05      2.416658e-06
8.720877e-01      1.279288e-03      2.754784e-05
8.977374e-01      2.430241e-02      1.250254e-04
9.233870e-01      1.649102e-01      3.900394e-04
9.490367e-01      5.645741e-01      8.955226e-04
9.746863e-01      1.202117e+00      1.323620e-03
1.000336e+00      1.863715e+00      1.429967e-03
1.025986e+00      2.336648e+00      1.308499e-03
1.051635e+00      2.553471e+00      1.058888e-03
1.077285e+00      2.548935e+00      1.095178e-03
1.102934e+00      2.408341e+00      9.502036e-04
1.128584e+00      2.200722e+00      1.059928e-03
1.154234e+00      1.972040e+00      1.060272e-03
1.179883e+00      1.754696e+00      1.083645e-03
1.205533e+00      1.558811e+00      9.848052e-04
1.231183e+00      1.388685e+00      9.361424e-04
1.256832e+00      1.244187e+00      8.519754e-04
1.282482e+00      1.123902e+00      7.956494e-04
1.308132e+00      1.023606e+00      7.448874e-04
1.333781e+00      9.400961e-01      6.966878e-04
1.359431e+00      8.726503e-01      5.652497e-04
1.385081e+00      8.177013e-01      5.193500e-04
1.410730e+00      7.742237e-01      5.157766e-04
1.436380e+00      7.386064e-01      5.030676e-04
1.462029e+00      7.113932e-01      5.363902e-04
1.487679e+00      6.909924e-01      5.374706e-04
1.513329e+00      6.794179e-01      5.302147e-04
1.538978e+00      6.719393e-01      5.372493e-04
1.564628e+00      6.712335e-01      5.348987e-04
1.590278e+00      6.756682e-01      5.429456e-04
1.615927e+00      6.858369e-01      5.090967e-04
1.641577e+00      7.016937e-01      5.297568e-04
1.667227e+00      7.229189e-01      5.476305e-04
1.692876e+00      7.490560e-01      5.003760e-04
1.718526e+00      7.797275e-01      5.253199e-04
1.744175e+00      8.150802e-01      4.904217e-04
1.769825e+00      8.535114e-01      4.727140e-04
1.795475e+00      8.941350e-01      5.108444e-04
1.821124e+00      9.358991e-01      5.719012e-04
1.846774e+00      9.774326e-01      5.222698e-04
1.872424e+00      1.018410e+00      5.773555e-04
1.898073e+00      1.058289e+00      5.425156e-04
1.923723e+00      1.095506e+00      5.363740e-04
1.949373e+00      1.129914e+00      5.324058e-04
1.975022e+00      1.160749e+00      5.202839e-04
2.000672e+00      1.184907e+00      4.692124e-04
2.026321e+00      1.203417e+00      4.733316e-04
2.051971e+00      1.214155e+00      4.759806e-04
2.077621e+00      1.215745e+00      4.883545e-04
2.103270e+00      1.209050e+00      4.810012e-04
2.128920e+00      1.195277e+00      4.769692e-04
2.154570e+00      1.175174e+00      4.923972e-04
2.180219e+00      1.151384e+00      4.462075e-04
2.205869e+00      1.123920e+00      5.143276e-04
2.231519e+00      1.095760e+00      4.846584e-04
2.257168e+00      1.066324e+00      4.871992e-04
2.282818e+00      1.038374e+00      4.377089e-04
2.308468e+00      1.012542e+00      4.648864e-04
2.334117e+00      9.879416e-01      4.735353e-04
2.359767e+00      9.662271e-01      4.174672e-04
2.385416e+00      9.476871e-01      4.526383e-04
2.411066e+00      9.310250e-01      4.068476e-04
2.436716e+00      9.185824e-01      3.955696e-04
2.462365e+00      9.087039e-01      4.153483e-04
2.488015e+00      8.949201e-01      3.779430e-04
2.513665e+00      8.855874e-01      3.919341e-04
2.539314e+00      8.852668e-01      3.972596e-04
