# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.306643e-02      0.000000e+00      0.000000e+00
4.613286e-02      0.000000e+00      0.000000e+00
6.919929e-02      0.000000e+00      0.000000e+00
9.226572e-02      0.000000e+00      0.000000e+00
1.153321e-01      0.000000e+00      0.000000e+00
1.383986e-01      0.000000e+00      0.000000e+00
1.614650e-01      0.000000e+00      0.000000e+00
1.845314e-01      0.000000e+00      0.000000e+00
2.075979e-01      0.000000e+00      0.000000e+00
2.306643e-01      0.000000e+00      0.000000e+00
2.537307e-01      0.000000e+00      0.000000e+00
2.767971e-01      0.000000e+00      0.000000e+00
2.998636e-01      0.000000e+00      0.000000e+00
3.229300e-01      0.000000e+00      0.000000e+00
3.459964e-01      0.000000e+00      0.000000e+00
3.690629e-01      0.000000e+00      0.000000e+00
3.921293e-01      0.000000e+00      0.000000e+00
4.151957e-01      0.000000e+00      0.000000e+00
4.382621e-01      0.000000e+00      0.000000e+00
4.613286e-01      0.000000e+00      0.000000e+00
4.843950e-01      0.000000e+00      0.000000e+00
5.074614e-01      0.000000e+00      0.000000e+00
5.305279e-01      0.000000e+00      0.000000e+00
5.535943e-01      0.000000e+00      0.000000e+00
5.766607e-01      0.000000e+00      0.000000e+00
5.997271e-01      0.000000e+00      0.000000e+00
6.227936e-01      0.000000e+00      0.000000e+00
6.458600e-01      0.000000e+00      0.000000e+00
6.689264e-01      0.000000e+00      0.000000e+00
6.919929e-01      0.000000e+00      0.000000e+00
7.150593e-01      0.000000e+00      0.000000e+00
7.381257e-01      0.000000e+00      0.000000e+00
7.611922e-01      0.000000e+00      0.000000e+00
7.842586e-01      0.000000e+00      0.000000e+00
8.073250e-01      0.000000e+00      0.000000e+00
8.303914e-01      0.000000e+00      0.000000e+00
8.534579e-01      0.000000e+00      0.000000e+00
8.765243e-01      8.174096e-05      6.383616e-06
8.995907e-01      3.332335e-03      3.993847e-05
9.226572e-01      4.704013e-02      1.942638e-04
9.457236e-01      2.929414e-01      4.887332e-04
9.687900e-01      1.005230e+00      9.991932e-04
9.918564e-01      2.240866e+00      1.375191e-03
1.014923e+00      3.626319e+00      1.206133e-03
1.037989e+00      4.620599e+00      1.225991e-03
1.061056e+00      4.896770e+00      1.786441e-03
1.084122e+00      4.492026e+00      1.879947e-03
1.107189e+00      3.657179e+00      1.510468e-03
1.130255e+00      2.694697e+00      1.029616e-03
1.153321e+00      1.816655e+00      6.661866e-04
1.176388e+00      1.129780e+00      6.601994e-04
1.199454e+00      6.531859e-01      6.208984e-04
1.222521e+00      3.533424e-01      5.392496e-04
1.245587e+00      1.793353e-01      4.180613e-04
1.268654e+00      8.911815e-02      3.163438e-04
1.291720e+00      4.961626e-02      2.439122e-04
1.314786e+00      4.257231e-02      2.169207e-04
1.337853e+00      6.095239e-02      2.563517e-04
1.360919e+00      1.064421e-01      2.910936e-04
1.383986e+00      1.844275e-01      3.559355e-04
1.407052e+00      3.003467e-01      3.416343e-04
1.430119e+00      4.531006e-01      3.010060e-04
1.453185e+00      6.277485e-01      3.191698e-04
1.476251e+00      7.966050e-01      4.686308e-04
1.499318e+00      9.214797e-01      5.991654e-04
1.522384e+00      9.698883e-01      7.107357e-04
1.545451e+00      9.290924e-01      6.216350e-04
1.568517e+00      8.089990e-01      5.304244e-04
1.591584e+00      6.410837e-01      3.213594e-04
1.614650e+00      4.657035e-01      2.786518e-04
1.637716e+00      3.168649e-01      3.358640e-04
1.660783e+00      2.199417e-01      3.917530e-04
1.683849e+00      1.919118e-01      4.832700e-04
1.706916e+00      2.549470e-01      5.689783e-04
1.729982e+00      4.336473e-01      6.736413e-04
1.753049e+00      7.492741e-01      6.887984e-04
1.776115e+00      1.198574e+00      5.730454e-04
1.799181e+00      1.727641e+00      4.666474e-04
1.822248e+00      2.235275e+00      6.995295e-04
1.845314e+00      2.596852e+00      1.091018e-03
1.868381e+00      2.713648e+00      1.362576e-03
1.891447e+00      2.557636e+00      1.193432e-03
1.914514e+00      2.179992e+00      8.132980e-04
1.937580e+00      1.689620e+00      4.995485e-04
1.960646e+00      1.200348e+00      4.191435e-04
1.983713e+00      8.020982e-01      6.284679e-04
2.006779e+00      5.423450e-01      7.113478e-04
2.029846e+00      4.345115e-01      6.835740e-04
2.052912e+00      4.615913e-01      6.064642e-04
2.075979e+00      5.868666e-01      3.930724e-04
2.099045e+00      7.585852e-01      2.706122e-04
2.122111e+00      9.174659e-01      3.512443e-04
2.145178e+00      1.014240e+00      4.680918e-04
2.168244e+00      1.021701e+00      5.081449e-04
2.191311e+00      9.196214e-01      4.396538e-04
2.214377e+00      7.810692e-01      2.664092e-04
2.237444e+00      6.538194e-01      3.641882e-04
2.260510e+00      5.721743e-01      5.747184e-04
2.283576e+00      5.734800e-01      6.934320e-04
