#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -4.134910e-01     -4.134910e-01      0.000000e+00
           2     -4.115616e-01     -4.125263e-01      6.821243e-04
           3     -4.157093e-01     -4.135873e-01      9.784091e-04
           4     -4.159129e-01     -4.141687e-01      8.899345e-04
           5     -4.180706e-01     -4.149491e-01      9.970300e-04
           6     -4.145122e-01     -4.148763e-01      8.335125e-04
           7     -4.134513e-01     -4.146727e-01      7.388781e-04
           8     -4.148356e-01     -4.146931e-01      6.467987e-04
           9     -4.155564e-01     -4.147890e-01      5.820023e-04
          10     -4.171346e-01     -4.150235e-01      5.691112e-04
          11     -4.168006e-01     -4.151851e-01      5.398162e-04
          12     -4.141122e-01     -4.150957e-01      5.021809e-04
          13     -4.134477e-01     -4.149689e-01      4.792859e-04
          14     -4.130332e-01     -4.148307e-01      4.645665e-04
          15     -4.138428e-01     -4.147648e-01      4.382382e-04
          16     -4.155784e-01     -4.148156e-01      4.137876e-04
          17     -4.152193e-01     -4.148394e-01      3.901279e-04
          18     -4.139491e-01     -4.147899e-01      3.715765e-04
          19     -4.149222e-01     -4.147969e-01      3.520850e-04
          20     -4.155989e-01     -4.148370e-01      3.367566e-04
          21     -4.150596e-01     -4.148476e-01      3.208873e-04
          22     -4.182451e-01     -4.150020e-01      3.414470e-04
          23     -4.156084e-01     -4.150284e-01      3.276176e-04
          24     -4.127498e-01     -4.149334e-01      3.274342e-04
          25     -4.148303e-01     -4.149293e-01      3.143628e-04
          26     -4.126897e-01     -4.148432e-01      3.138516e-04
          27     -4.141611e-01     -4.148179e-01      3.032424e-04
          28     -4.194959e-01     -4.149850e-01      3.352914e-04
          29     -4.108467e-01     -4.148423e-01      3.527917e-04
          30     -4.135907e-01     -4.148006e-01      3.434900e-04
          31     -4.134212e-01     -4.147561e-01      3.352793e-04
          32     -4.110229e-01     -4.146394e-01      3.445014e-04
          33     -4.113411e-01     -4.145395e-01      3.482589e-04
          34     -4.120905e-01     -4.144674e-01      3.453843e-04
          35     -4.102980e-01     -4.143483e-01      3.554671e-04
          36     -4.140704e-01     -4.143406e-01      3.456768e-04
          37     -4.164973e-01     -4.143989e-01      3.412134e-04
          38     -4.137383e-01     -4.143815e-01      3.326767e-04
          39     -4.216197e-01     -4.145671e-01      3.723347e-04
          40     -4.111469e-01     -4.144816e-01      3.727150e-04
          41     -4.157755e-01     -4.145131e-01      3.649581e-04
          42     -4.144481e-01     -4.145116e-01      3.562719e-04
          43     -4.160458e-01     -4.145473e-01      3.497686e-04
          44     -4.127178e-01     -4.145057e-01      3.442818e-04
          45     -4.179566e-01     -4.145824e-01      3.450662e-04
          46     -4.145243e-01     -4.145811e-01      3.375671e-04
          47     -4.143384e-01     -4.145760e-01      3.304243e-04
          48     -4.155788e-01     -4.145968e-01      3.242004e-04
          49     -4.131951e-01     -4.145682e-01      3.188437e-04
          50     -4.145916e-01     -4.145687e-01      3.124672e-04
          51     -4.045998e-01     -4.143732e-01      3.623580e-04
          52     -4.144482e-01     -4.143747e-01      3.553924e-04
          53     -4.189117e-01     -4.144603e-01      3.588485e-04
          54     -4.127839e-01     -4.144292e-01      3.535434e-04
          55     -4.156821e-01     -4.144520e-01      3.478484e-04
          56     -4.156126e-01     -4.144727e-01      3.422536e-04
          57     -4.125816e-01     -4.144396e-01      3.378534e-04
          58     -4.150865e-01     -4.144507e-01      3.322124e-04
          59     -4.170702e-01     -4.144951e-01      3.295351e-04
          60     -4.118436e-01     -4.144509e-01      3.269926e-04
          61     -4.129838e-01     -4.144269e-01      3.225154e-04
          62     -4.117024e-01     -4.143829e-01      3.202932e-04
          63     -4.139608e-01     -4.143762e-01      3.152792e-04
          64     -4.133602e-01     -4.143604e-01      3.107524e-04
          65     -4.175067e-01     -4.144088e-01      3.097186e-04
          66     -4.105045e-01     -4.143496e-01      3.106238e-04
          67     -4.143613e-01     -4.143498e-01      3.059877e-04
          68     -4.135879e-01     -4.143386e-01      3.016929e-04
          69     -4.116648e-01     -4.142998e-01      2.997989e-04
          70     -4.157927e-01     -4.143212e-01      2.962737e-04
          71     -4.134567e-01     -4.143090e-01      2.923509e-04
          72     -4.157493e-01     -4.143290e-01      2.889740e-04
          73     -4.111742e-01     -4.142858e-01      2.882289e-04
          74     -4.135069e-01     -4.142752e-01      2.845261e-04
          75     -4.160515e-01     -4.142989e-01      2.817163e-04
          76     -4.162609e-01     -4.143247e-01      2.791899e-04
          77     -4.152465e-01     -4.143367e-01      2.758205e-04
          78     -4.207213e-01     -4.144186e-01      2.841706e-04
          79     -4.095317e-01     -4.143567e-01      2.872274e-04
          80     -4.161124e-01     -4.143786e-01      2.844743e-04
          81     -4.151987e-01     -4.143888e-01      2.811423e-04
          82     -4.182208e-01     -4.144355e-01      2.815708e-04
          83     -4.146114e-01     -4.144376e-01      2.781864e-04
          84     -4.154517e-01     -4.144497e-01      2.751365e-04
          85     -4.151396e-01     -4.144578e-01      2.720193e-04
          86     -4.135627e-01     -4.144474e-01      2.690554e-04
          87     -4.135098e-01     -4.144366e-01      2.661785e-04
          88     -4.105994e-01     -4.143930e-01      2.667014e-04
          89     -4.151005e-01     -4.144010e-01      2.638232e-04
          90     -4.090608e-01     -4.143416e-01      2.674810e-04
          91     -4.144382e-01     -4.143427e-01      2.645438e-04
          92     -4.152828e-01     -4.143529e-01      2.618656e-04
          93     -4.160862e-01     -4.143716e-01      2.597122e-04
          94     -4.145024e-01     -4.143729e-01      2.569530e-04
          95     -4.132596e-01     -4.143612e-01      2.545154e-04
          96     -4.165243e-01     -4.143838e-01      2.528596e-04
          97     -4.148019e-01     -4.143881e-01      2.502895e-04
          98     -4.118366e-01     -4.143620e-01      2.490860e-04
          99     -4.148484e-01     -4.143669e-01      2.466184e-04
         100     -4.137761e-01     -4.143610e-01      2.442230e-04
         101     -4.156294e-01     -4.143736e-01      2.421277e-04
         102     -4.169532e-01     -4.143989e-01      2.410710e-04
         103     -4.141782e-01     -4.143967e-01      2.387400e-04
         104     -4.096853e-01     -4.143514e-01      2.407043e-04
         105     -4.132030e-01     -4.143405e-01      2.386602e-04
         106     -4.137975e-01     -4.143354e-01      2.364637e-04
         107     -4.169303e-01     -4.143596e-01      2.354940e-04
         108     -4.127330e-01     -4.143446e-01      2.337947e-04
         109     -4.132117e-01     -4.143342e-01      2.318807e-04
         110     -4.109121e-01     -4.143031e-01      2.318501e-04
         111     -4.116646e-01     -4.142793e-01      2.309767e-04
         112     -4.165759e-01     -4.142998e-01      2.298228e-04
         113     -4.145901e-01     -4.143024e-01      2.278033e-04
         114     -4.128431e-01     -4.142896e-01      2.261644e-04
         115     -4.146849e-01     -4.142930e-01      2.242239e-04
         116     -4.102570e-01     -4.142582e-01      2.249741e-04
         117     -4.163410e-01     -4.142760e-01      2.237545e-04
         118     -4.143429e-01     -4.142766e-01      2.218590e-04
         119     -4.109567e-01     -4.142487e-01      2.217417e-04
         120     -4.176657e-01     -4.142772e-01      2.217146e-04
         121     -4.133176e-01     -4.142692e-01      2.200241e-04
         122     -4.105769e-01     -4.142390e-01      2.202923e-04
         123     -4.192233e-01     -4.142795e-01      2.221972e-04
         124     -4.147340e-01     -4.142832e-01      2.204355e-04
         125     -4.139948e-01     -4.142808e-01      2.186841e-04
         126     -4.136660e-01     -4.142760e-01      2.170030e-04
         127     -4.146677e-01     -4.142791e-01      2.153162e-04
         128     -4.150336e-01     -4.142849e-01      2.137147e-04
         129     -4.191543e-01     -4.143227e-01      2.153657e-04
         130     -4.115857e-01     -4.143016e-01      2.147357e-04
         131     -4.179897e-01     -4.143298e-01      2.149341e-04
         132     -4.131672e-01     -4.143210e-01      2.134862e-04
         133     -4.080245e-01     -4.142736e-01      2.170668e-04
         134     -4.197435e-01     -4.143145e-01      2.192515e-04
         135     -4.131520e-01     -4.143059e-01      2.177964e-04
         136     -4.136274e-01     -4.143009e-01      2.162521e-04
         137     -4.148187e-01     -4.143046e-01      2.147066e-04
         138     -4.145028e-01     -4.143061e-01      2.131556e-04
         139     -4.115163e-01     -4.142860e-01      2.125649e-04
         140     -4.157563e-01     -4.142965e-01      2.113058e-04
         141     -4.144838e-01     -4.142978e-01      2.098114e-04
         142     -4.110963e-01     -4.142753e-01      2.095417e-04
         143     -4.128535e-01     -4.142654e-01      2.083121e-04
         144     -4.174939e-01     -4.142878e-01      2.080686e-04
         145     -4.170726e-01     -4.143070e-01      2.075181e-04
         146     -4.173445e-01     -4.143278e-01      2.071370e-04
         147     -4.125653e-01     -4.143158e-01      2.060746e-04
         148     -4.146067e-01     -4.143178e-01      2.046916e-04
         149     -4.140276e-01     -4.143158e-01      2.033271e-04
         150     -4.164570e-01     -4.143301e-01      2.024721e-04
         151     -4.092147e-01     -4.142962e-01      2.039455e-04
         152     -4.123259e-01     -4.142832e-01      2.030153e-04
         153     -4.113466e-01     -4.142641e-01      2.025937e-04
         154     -4.116558e-01     -4.142471e-01      2.019849e-04
         155     -4.099950e-01     -4.142197e-01      2.025361e-04
         156     -4.159470e-01     -4.142308e-01      2.015403e-04
         157     -4.171240e-01     -4.142492e-01      2.010973e-04
         158     -4.105312e-01     -4.142257e-01      2.011966e-04
         159     -4.144229e-01     -4.142269e-01      1.999351e-04
         160     -4.116965e-01     -4.142111e-01      1.993100e-04
         161     -4.178925e-01     -4.142339e-01      1.993794e-04
         162     -4.183015e-01     -4.142591e-01      1.997233e-04
         163     -4.120084e-01     -4.142452e-01      1.989748e-04
         164     -4.096366e-01     -4.142171e-01      1.997360e-04
         165     -4.075086e-01     -4.141765e-01      2.026214e-04
         166     -4.114433e-01     -4.141600e-01      2.020687e-04
         167     -4.090386e-01     -4.141294e-01      2.031725e-04
         168     -4.132601e-01     -4.141242e-01      2.020290e-04
         169     -4.165722e-01     -4.141387e-01      2.013522e-04
         170     -4.149942e-01     -4.141437e-01      2.002306e-04
         171     -4.148538e-01     -4.141478e-01      1.991027e-04
         172     -4.161410e-01     -4.141594e-01      1.982821e-04
         173     -4.111480e-01     -4.141420e-01      1.978986e-04
         174     -4.133695e-01     -4.141376e-01      1.968110e-04
         175     -4.070653e-01     -4.140972e-01      1.997925e-04
         176     -4.169141e-01     -4.141132e-01      1.992974e-04
         177     -4.118783e-01     -4.141006e-01      1.985710e-04
         178     -4.126218e-01     -4.140922e-01      1.976291e-04
         179     -4.156085e-01     -4.141007e-01      1.967065e-04
         180     -4.186488e-01     -4.141260e-01      1.972298e-04
         181     -4.179398e-01     -4.141471e-01      1.972624e-04
         182     -4.176741e-01     -4.141664e-01      1.971282e-04
         183     -4.137422e-01     -4.141641e-01      1.960646e-04
         184     -4.123987e-01     -4.141545e-01      1.952337e-04
         185     -4.125312e-01     -4.141457e-01      1.943755e-04
         186     -4.105894e-01     -4.141266e-01      1.942685e-04
         187     -4.133763e-01     -4.141226e-01      1.932711e-04
         188     -4.151636e-01     -4.141282e-01      1.923224e-04
         189     -4.087619e-01     -4.140998e-01      1.933893e-04
         190     -4.128687e-01     -4.140933e-01      1.924800e-04
         191     -4.122581e-01     -4.140837e-01      1.917119e-04
         192     -4.160098e-01     -4.140937e-01      1.909757e-04
         193     -4.184188e-01     -4.141161e-01      1.912965e-04
         194     -4.143742e-01     -4.141174e-01      1.903151e-04
         195     -4.159261e-01     -4.141267e-01      1.895650e-04
         196     -4.144757e-01     -4.141285e-01      1.886062e-04
         197     -4.102834e-01     -4.141090e-01      1.886560e-04
         198     -4.150296e-01     -4.141136e-01      1.877605e-04
         199     -4.107777e-01     -4.140969e-01      1.875638e-04
         200     -4.162121e-01     -4.141074e-01      1.869239e-04
