#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.457633e+00     -5.457633e+00      0.000000e+00
           2     -5.490589e+00     -5.474111e+00      1.165170e-02
           3     -5.468787e+00     -5.472337e+00      7.901781e-03
           4     -5.466592e+00     -5.470900e+00      6.055460e-03
           5     -5.450265e+00     -5.466773e+00      6.090511e-03
           6     -5.479433e+00     -5.468883e+00      5.428619e-03
           7     -5.490177e+00     -5.471925e+00      5.439020e-03
           8     -5.450946e+00     -5.469303e+00      5.354140e-03
           9     -5.472457e+00     -5.469653e+00      4.770693e-03
          10     -5.458720e+00     -5.468560e+00      4.417138e-03
          11     -5.469171e+00     -5.468615e+00      4.015930e-03
          12     -5.469908e+00     -5.468723e+00      3.682712e-03
          13     -5.469373e+00     -5.468773e+00      3.399766e-03
          14     -5.473308e+00     -5.469097e+00      3.172316e-03
          15     -5.477923e+00     -5.469685e+00      3.014898e-03
          16     -5.459671e+00     -5.469059e+00      2.890707e-03
          17     -5.451999e+00     -5.468056e+00      2.889617e-03
          18     -5.464330e+00     -5.467849e+00      2.736485e-03
          19     -5.448982e+00     -5.466856e+00      2.766771e-03
          20     -5.465089e+00     -5.466768e+00      2.629843e-03
          21     -5.470933e+00     -5.466966e+00      2.512081e-03
          22     -5.441099e+00     -5.465790e+00      2.658853e-03
          23     -5.477842e+00     -5.466314e+00      2.594370e-03
          24     -5.467275e+00     -5.466354e+00      2.486581e-03
          25     -5.447085e+00     -5.465583e+00      2.503728e-03
          26     -5.461479e+00     -5.465426e+00      2.412403e-03
          27     -5.457989e+00     -5.465150e+00      2.338726e-03
          28     -5.445092e+00     -5.464434e+00      2.362363e-03
          29     -5.457652e+00     -5.464200e+00      2.292446e-03
          30     -5.454195e+00     -5.463866e+00      2.240157e-03
          31     -5.453363e+00     -5.463528e+00      2.193370e-03
          32     -5.454637e+00     -5.463250e+00      2.142351e-03
          33     -5.452982e+00     -5.462939e+00      2.099903e-03
          34     -5.479864e+00     -5.463436e+00      2.096316e-03
          35     -5.449659e+00     -5.463043e+00      2.073052e-03
          36     -5.464394e+00     -5.463080e+00      2.015807e-03
          37     -5.438441e+00     -5.462414e+00      2.068394e-03
          38     -5.477010e+00     -5.462798e+00      2.049313e-03
          39     -5.478926e+00     -5.463212e+00      2.038061e-03
          40     -5.453043e+00     -5.462958e+00      2.002902e-03
          41     -5.470824e+00     -5.463150e+00      1.963218e-03
          42     -5.483183e+00     -5.463627e+00      1.973566e-03
          43     -5.452839e+00     -5.463376e+00      1.943548e-03
          44     -5.462904e+00     -5.463365e+00      1.899406e-03
          45     -5.459866e+00     -5.463287e+00      1.858788e-03
          46     -5.462803e+00     -5.463277e+00      1.818409e-03
          47     -5.465930e+00     -5.463333e+00      1.780596e-03
          48     -5.446619e+00     -5.462985e+00      1.777221e-03
          49     -5.484493e+00     -5.463424e+00      1.794339e-03
