#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.537009e+00     -7.537009e+00      0.000000e+00
           2     -7.557083e+00     -7.547046e+00      7.097370e-03
           3     -7.533208e+00     -7.542434e+00      6.047466e-03
           4     -7.530902e+00     -7.539551e+00      5.177345e-03
           5     -7.541405e+00     -7.539921e+00      4.155136e-03
           6     -7.554858e+00     -7.542411e+00      4.141771e-03
           7     -7.549932e+00     -7.543485e+00      3.686816e-03
           8     -7.534908e+00     -7.542413e+00      3.378282e-03
           9     -7.550837e+00     -7.543349e+00      3.129895e-03
          10     -7.529258e+00     -7.541940e+00      3.118003e-03
          11     -7.537982e+00     -7.541580e+00      2.855233e-03
          12     -7.546355e+00     -7.541978e+00      2.644873e-03
          13     -7.541392e+00     -7.541933e+00      2.441806e-03
          14     -7.558370e+00     -7.543107e+00      2.533976e-03
          15     -7.560863e+00     -7.544291e+00      2.627014e-03
          16     -7.546417e+00     -7.544424e+00      2.466184e-03
          17     -7.537687e+00     -7.544027e+00      2.352737e-03
          18     -7.547137e+00     -7.544200e+00      2.228364e-03
          19     -7.549665e+00     -7.544488e+00      2.129560e-03
          20     -7.555015e+00     -7.545014e+00      2.087120e-03
          21     -7.540954e+00     -7.544821e+00      1.996670e-03
          22     -7.535765e+00     -7.544409e+00      1.947884e-03
          23     -7.564076e+00     -7.545264e+00      2.042267e-03
          24     -7.541284e+00     -7.545098e+00      1.963895e-03
          25     -7.536347e+00     -7.544748e+00      1.916282e-03
          26     -7.541368e+00     -7.544618e+00      1.846983e-03
          27     -7.554635e+00     -7.544989e+00      1.815454e-03
          28     -7.546595e+00     -7.545047e+00      1.751522e-03
          29     -7.546116e+00     -7.545084e+00      1.691513e-03
          30     -7.539146e+00     -7.544886e+00      1.646668e-03
          31     -7.567167e+00     -7.545604e+00      1.743377e-03
          32     -7.540973e+00     -7.545460e+00      1.694892e-03
          33     -7.557581e+00     -7.545827e+00      1.682862e-03
          34     -7.565194e+00     -7.546397e+00      1.727085e-03
          35     -7.547634e+00     -7.546432e+00      1.678101e-03
          36     -7.544765e+00     -7.546386e+00      1.632126e-03
          37     -7.545765e+00     -7.546369e+00      1.588101e-03
          38     -7.545311e+00     -7.546341e+00      1.546552e-03
          39     -7.563364e+00     -7.546778e+00      1.567283e-03
          40     -7.534823e+00     -7.546479e+00      1.556337e-03
          41     -7.548072e+00     -7.546518e+00      1.518863e-03
          42     -7.543351e+00     -7.546442e+00      1.484569e-03
          43     -7.541469e+00     -7.546326e+00      1.454542e-03
          44     -7.559303e+00     -7.546621e+00      1.451076e-03
          45     -7.545888e+00     -7.546605e+00      1.418921e-03
          46     -7.550134e+00     -7.546682e+00      1.390147e-03
          47     -7.545337e+00     -7.546653e+00      1.360864e-03
          48     -7.543970e+00     -7.546597e+00      1.333661e-03
          49     -7.564151e+00     -7.546956e+00      1.353704e-03
          50     -7.548473e+00     -7.546986e+00      1.326970e-03
          51     -7.540879e+00     -7.546866e+00      1.306343e-03
          52     -7.555441e+00     -7.547031e+00      1.291587e-03
          53     -7.547271e+00     -7.547036e+00      1.267226e-03
          54     -7.555323e+00     -7.547189e+00      1.253017e-03
          55     -7.530369e+00     -7.546883e+00      1.267005e-03
          56     -7.550174e+00     -7.546942e+00      1.245742e-03
          57     -7.546866e+00     -7.546941e+00      1.223887e-03
          58     -7.543350e+00     -7.546879e+00      1.204351e-03
          59     -7.551470e+00     -7.546957e+00      1.186449e-03
          60     -7.541002e+00     -7.546857e+00      1.170819e-03
          61     -7.552540e+00     -7.546950e+00      1.155325e-03
          62     -7.554959e+00     -7.547080e+00      1.143889e-03
          63     -7.532983e+00     -7.546856e+00      1.147407e-03
          64     -7.550733e+00     -7.546916e+00      1.131077e-03
          65     -7.536675e+00     -7.546759e+00      1.124596e-03
          66     -7.552158e+00     -7.546841e+00      1.110529e-03
          67     -7.544171e+00     -7.546801e+00      1.094668e-03
          68     -7.535458e+00     -7.546634e+00      1.091206e-03
          69     -7.541400e+00     -7.546558e+00      1.078024e-03
          70     -7.538575e+00     -7.546444e+00      1.068640e-03
          71     -7.543068e+00     -7.546397e+00      1.054646e-03
          72     -7.551863e+00     -7.546473e+00      1.042727e-03
          73     -7.538820e+00     -7.546368e+00      1.033699e-03
          74     -7.562695e+00     -7.546588e+00      1.043011e-03
          75     -7.538003e+00     -7.546474e+00      1.035367e-03
          76     -7.550838e+00     -7.546531e+00      1.023335e-03
          77     -7.557477e+00     -7.546673e+00      1.019870e-03
          78     -7.559712e+00     -7.546841e+00      1.020402e-03
          79     -7.551393e+00     -7.546898e+00      1.009111e-03
          80     -7.559634e+00     -7.547057e+00      1.008976e-03
          81     -7.553712e+00     -7.547140e+00      9.998585e-04
          82     -7.530641e+00     -7.546938e+00      1.007706e-03
          83     -7.559030e+00     -7.547084e+00      1.006039e-03
          84     -7.537658e+00     -7.546972e+00      1.000301e-03
          85     -7.537059e+00     -7.546855e+00      9.953081e-04
