#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      4.223304e-02      4.223304e-02      0.000000e+00
           2      4.268576e-02      4.245940e-02      1.600608e-04
           3      4.253087e-02      4.248322e-02      1.084658e-04
           4      4.274555e-02      4.254881e-02      9.921380e-05
           5      4.237068e-02      4.251318e-02      8.552796e-05
           6      4.243345e-02      4.249989e-02      7.229812e-05
           7      4.279904e-02      4.254263e-02      7.352346e-05
           8      4.281691e-02      4.257691e-02      7.188388e-05
           9      4.255623e-02      4.257462e-02      6.393351e-05
          10      4.215909e-02      4.253306e-02      6.974843e-05
          11      4.296399e-02      4.257224e-02      7.359152e-05
          12      4.228072e-02      4.254794e-02      7.135611e-05
          13      4.273481e-02      4.256232e-02      6.729938e-05
          14      4.269785e-02      4.257200e-02      6.318472e-05
          15      4.248114e-02      4.256594e-02      5.926206e-05
          16      4.208473e-02      4.253587e-02      6.272738e-05
          17      4.317762e-02      4.257362e-02      6.947424e-05
          18      4.276779e-02      4.258440e-02      6.644675e-05
          19      4.270817e-02      4.259092e-02      6.326801e-05
          20      4.244183e-02      4.258346e-02      6.054218e-05
          21      4.272531e-02      4.259022e-02      5.803483e-05
          22      4.229770e-02      4.257692e-02      5.689966e-05
          23      4.252795e-02      4.257479e-02      5.446559e-05
          24      4.279344e-02      4.258390e-02      5.295266e-05
          25      4.263515e-02      4.258595e-02      5.087421e-05
          26      4.283418e-02      4.259550e-02      4.980531e-05
          27      4.286254e-02      4.260539e-02      4.893287e-05
          28      4.223189e-02      4.259205e-02      4.896966e-05
          29      4.247653e-02      4.258807e-02      4.744281e-05
          30      4.269447e-02      4.259161e-02      4.599376e-05
          31      4.288881e-02      4.260120e-02      4.549826e-05
          32      4.265051e-02      4.260274e-02      4.410253e-05
          33      4.248058e-02      4.259904e-02      4.292118e-05
          34      4.280818e-02      4.260519e-02      4.209725e-05
          35      4.286262e-02      4.261255e-02      4.153204e-05
          36      4.327332e-02      4.263090e-02      4.424879e-05
          37      4.270003e-02      4.263277e-02      4.309230e-05
          38      4.283434e-02      4.263807e-02      4.228351e-05
          39      4.257548e-02      4.263647e-02      4.122976e-05
          40      4.298192e-02      4.264511e-02      4.109359e-05
          41      4.292672e-02      4.265197e-02      4.066129e-05
          42      4.271881e-02      4.265357e-02      3.972429e-05
          43      4.291142e-02      4.265956e-02      3.925047e-05
          44      4.280147e-02      4.266279e-02      3.849069e-05
          45      4.295980e-02      4.266939e-02      3.819705e-05
          46      4.248835e-02      4.266545e-02      3.756889e-05
          47      4.211315e-02      4.265370e-02      3.856360e-05
          48      4.288853e-02      4.265859e-02      3.806926e-05
          49      4.263498e-02      4.265811e-02      3.729539e-05
          50      4.255645e-02      4.265608e-02      3.660486e-05
          51      4.291647e-02      4.266118e-02      3.624145e-05
          52      4.234102e-02      4.265503e-02      3.606369e-05
          53      4.242576e-02      4.265070e-02      3.564175e-05
          54      4.264542e-02      4.265060e-02      3.498185e-05
          55      4.247715e-02      4.264745e-02      3.448768e-05
          56      4.232200e-02      4.264164e-02      3.435800e-05
          57      4.226071e-02      4.263495e-02      3.439903e-05
          58      4.267071e-02      4.263557e-02      3.381147e-05
          59      4.240726e-02      4.263170e-02      3.345910e-05
          60      4.241727e-02      4.262813e-02      3.309177e-05
          61      4.263757e-02      4.262828e-02      3.254964e-05
          62      4.252222e-02      4.262657e-02      3.206957e-05
          63      4.245334e-02      4.262382e-02      3.167820e-05
          64      4.315002e-02      4.263204e-02      3.223253e-05
          65      4.293267e-02      4.263667e-02      3.206675e-05
          66      4.255022e-02      4.263536e-02      3.160763e-05
          67      4.283660e-02      4.263836e-02      3.127827e-05
          68      4.235429e-02      4.263419e-02      3.109603e-05
          69      4.260107e-02      4.263371e-02      3.064907e-05
          70      4.202054e-02      4.262495e-02      3.143805e-05
          71      4.252198e-02      4.262350e-02      3.102870e-05
          72      4.281418e-02      4.262614e-02      3.071056e-05
          73      4.298480e-02      4.263106e-02      3.068035e-05
          74      4.231846e-02      4.262683e-02      3.055519e-05
          75      4.241452e-02      4.262400e-02      3.027864e-05
          76      4.245451e-02      4.262177e-02      2.996226e-05
          77      4.214475e-02      4.261558e-02      3.020682e-05
          78      4.218136e-02      4.261001e-02      3.032819e-05
          79      4.305516e-02      4.261564e-02      3.046325e-05
          80      4.285144e-02      4.261859e-02      3.022471e-05
          81      4.277616e-02      4.262054e-02      2.991410e-05
          82      4.247859e-02      4.261881e-02      2.959934e-05
          83      4.282125e-02      4.262125e-02      2.934304e-05
          84      4.260401e-02      4.262104e-02      2.899444e-05
          85      4.225732e-02      4.261676e-02      2.896736e-05
          86      4.246260e-02      4.261497e-02      2.868594e-05
          87      4.288286e-02      4.261805e-02      2.852101e-05
          88      4.267175e-02      4.261866e-02      2.820343e-05
          89      4.245812e-02      4.261685e-02      2.794416e-05
          90      4.309184e-02      4.262213e-02      2.812763e-05
          91      4.226448e-02      4.261820e-02      2.809177e-05
          92      4.278212e-02      4.261998e-02      2.784287e-05
          93      4.258780e-02      4.261964e-02      2.754563e-05
          94      4.292888e-02      4.262293e-02      2.744834e-05
          95      4.218699e-02      4.261834e-02      2.754031e-05
          96      4.232646e-02      4.261530e-02      2.742075e-05
          97      4.291906e-02      4.261843e-02      2.731630e-05
          98      4.301982e-02      4.262253e-02      2.734291e-05
          99      4.237968e-02      4.262007e-02      2.717653e-05
         100      4.255002e-02      4.261937e-02      2.691379e-05
         101      4.314466e-02      4.262457e-02      2.714517e-05
         102      4.237567e-02      4.262213e-02      2.698851e-05
         103      4.231213e-02      4.261912e-02      2.689377e-05
         104      4.279117e-02      4.262078e-02      2.668601e-05
         105      4.296172e-02      4.262402e-02      2.662867e-05
         106      4.269829e-02      4.262472e-02      2.638667e-05
         107      4.220690e-02      4.262082e-02      2.642743e-05
         108      4.272412e-02      4.262178e-02      2.620004e-05
         109      4.292773e-02      4.262458e-02      2.610959e-05
         110      4.260229e-02      4.262438e-02      2.587302e-05
         111      4.290449e-02      4.262690e-02      2.576270e-05
         112      4.280216e-02      4.262847e-02      2.558015e-05
         113      4.266537e-02      4.262880e-02      2.535586e-05
         114      4.287411e-02      4.263095e-02      2.522459e-05
         115      4.229978e-02      4.262807e-02      2.516908e-05
         116      4.268538e-02      4.262856e-02      2.495696e-05
         117      4.249701e-02      4.262744e-02      2.476897e-05
         118      4.258747e-02      4.262710e-02      2.456137e-05
         119      4.234209e-02      4.262470e-02      2.447147e-05
         120      4.274491e-02      4.262571e-02      2.428804e-05
         121      4.267728e-02      4.262613e-02      2.409105e-05
         122      4.283156e-02      4.262782e-02      2.395235e-05
         123      4.250541e-02      4.262682e-02      2.377829e-05
         124      4.290276e-02      4.262905e-02      2.369043e-05
         125      4.243591e-02      4.262750e-02      2.355123e-05
         126      4.296418e-02      4.263017e-02      2.351542e-05
         127      4.274894e-02      4.263111e-02      2.334884e-05
         128      4.247268e-02      4.262987e-02      2.319921e-05
         129      4.216286e-02      4.262625e-02      2.330014e-05
         130      4.246811e-02      4.262503e-02      2.315264e-05
         131      4.298124e-02      4.262775e-02      2.313502e-05
         132      4.303156e-02      4.263081e-02      2.316113e-05
         133      4.273784e-02      4.263162e-02      2.300096e-05
         134      4.247193e-02      4.263042e-02      2.286016e-05
         135      4.287523e-02      4.263224e-02      2.276264e-05
         136      4.247816e-02      4.263110e-02      2.262345e-05
         137      4.269024e-02      4.263154e-02      2.246243e-05
         138      4.276602e-02      4.263251e-02      2.232079e-05
         139      4.297306e-02      4.263496e-02      2.229425e-05
         140      4.245983e-02      4.263371e-02      2.217008e-05
         141      4.273650e-02      4.263444e-02      2.202482e-05
         142      4.297787e-02      4.263686e-02      2.200211e-05
         143      4.324712e-02      4.264113e-02      2.225827e-05
         144      4.231542e-02      4.263886e-02      2.221833e-05
         145      4.235078e-02      4.263688e-02      2.215375e-05
         146      4.233184e-02      4.263479e-02      2.210031e-05
         147      4.246416e-02      4.263363e-02      2.198043e-05
         148      4.221422e-02      4.263079e-02      2.201384e-05
         149      4.274133e-02      4.263153e-02      2.187859e-05
         150      4.251853e-02      4.263078e-02      2.174570e-05
         151      4.194428e-02      4.262623e-02      2.207183e-05
         152      4.244022e-02      4.262501e-02      2.196052e-05
         153      4.276460e-02      4.262592e-02      2.183593e-05
         154      4.267614e-02      4.262625e-02      2.169657e-05
         155      4.270176e-02      4.262674e-02      2.156206e-05
         156      4.241192e-02      4.262536e-02      2.146777e-05
         157      4.249397e-02      4.262452e-02      2.134733e-05
         158      4.278928e-02      4.262557e-02      2.123768e-05
         159      4.292638e-02      4.262746e-02      2.118821e-05
         160      4.308559e-02      4.263032e-02      2.124837e-05
         161      4.238993e-02      4.262883e-02      2.116879e-05
         162      4.258356e-02      4.262855e-02      2.103996e-05
         163      4.276772e-02      4.262940e-02      2.092820e-05
         164      4.276694e-02      4.263024e-02      2.081739e-05
         165      4.322764e-02      4.263386e-02      2.100371e-05
         166      4.281630e-02      4.263496e-02      2.090592e-05
         167      4.271536e-02      4.263544e-02      2.078627e-05
         168      4.235061e-02      4.263375e-02      2.073157e-05
         169      4.297934e-02      4.263579e-02      2.070951e-05
         170      4.303416e-02      4.263813e-02      2.071984e-05
         171      4.268491e-02      4.263841e-02      2.060048e-05
         172      4.273908e-02      4.263899e-02      2.048902e-05
         173      4.273100e-02      4.263953e-02      2.037749e-05
         174      4.282028e-02      4.264056e-02      2.028684e-05
         175      4.260442e-02      4.264036e-02      2.017196e-05
         176      4.241054e-02      4.263905e-02      2.009957e-05
         177      4.285879e-02      4.264029e-02      2.002431e-05
         178      4.257234e-02      4.263991e-02      1.991546e-05
         179      4.230207e-02      4.263802e-02      1.989343e-05
         180      4.234850e-02      4.263642e-02      1.984783e-05
         181      4.255819e-02      4.263598e-02      1.974287e-05
         182      4.276108e-02      4.263667e-02      1.964636e-05
         183      4.239492e-02      4.263535e-02      1.958336e-05
         184      4.287944e-02      4.263668e-02      1.952181e-05
         185      4.260832e-02      4.263652e-02      1.941689e-05
         186      4.284910e-02      4.263767e-02      1.934610e-05
         187      4.240290e-02      4.263641e-02      1.928334e-05
         188      4.239127e-02      4.263511e-02      1.922480e-05
         189      4.274081e-02      4.263567e-02      1.913122e-05
         190      4.316627e-02      4.263846e-02      1.923327e-05
         191      4.273674e-02      4.263897e-02      1.913946e-05
         192      4.267904e-02      4.263918e-02      1.904091e-05
         193      4.263200e-02      4.263914e-02      1.894229e-05
         194      4.217642e-02      4.263676e-02      1.899423e-05
         195      4.235213e-02      4.263530e-02      1.895282e-05
         196      4.258881e-02      4.263506e-02      1.885761e-05
         197      4.253600e-02      4.263456e-02      1.876859e-05
         198      4.236272e-02      4.263319e-02      1.872395e-05
         199      4.301674e-02      4.263511e-02      1.872879e-05
         200      4.247050e-02      4.263429e-02      1.865322e-05
