#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.251755e+00      1.251755e+00      0.000000e+00
           2      1.079093e+00      1.165424e+00      6.104515e-02
           3      1.204329e+00      1.178393e+00      4.205170e-02
           4      1.175428e+00      1.177651e+00      3.154531e-02
           5      1.310328e+00      1.204187e+00      3.464341e-02
           6      1.164328e+00      1.197544e+00      2.949955e-02
           7      1.083385e+00      1.181235e+00      2.945021e-02
           8      1.306309e+00      1.196870e+00      2.962958e-02
           9      1.169309e+00      1.193807e+00      2.649518e-02
          10      1.282257e+00      1.202652e+00      2.527896e-02
          11      1.191082e+00      1.201600e+00      2.300275e-02
          12      1.180990e+00      1.199883e+00      2.114988e-02
          13      1.222890e+00      1.201653e+00      1.959687e-02
          14      1.206553e+00      1.202003e+00      1.820022e-02
          15      1.151226e+00      1.198617e+00      1.729881e-02
          16      1.247840e+00      1.201694e+00      1.648893e-02
          17      1.292885e+00      1.207058e+00      1.636829e-02
          18      1.236966e+00      1.208720e+00      1.554304e-02
          19      1.301563e+00      1.213606e+00      1.547406e-02
          20      1.216483e+00      1.213750e+00      1.470102e-02
          21      1.196679e+00      1.212937e+00      1.402343e-02
          22      1.315508e+00      1.217599e+00      1.413981e-02
          23      1.140664e+00      1.214254e+00      1.391507e-02
          24      1.218397e+00      1.214427e+00      1.333635e-02
          25      1.321158e+00      1.218696e+00      1.346891e-02
          26      1.252357e+00      1.219991e+00      1.301295e-02
          27      1.269713e+00      1.221832e+00      1.266062e-02
          28      1.347007e+00      1.226303e+00      1.297375e-02
          29      1.274284e+00      1.227957e+00      1.263144e-02
          30      1.254855e+00      1.228854e+00      1.224217e-02
          31      1.279031e+00      1.230473e+00      1.195379e-02
          32      1.255591e+00      1.231258e+00      1.160598e-02
          33      1.251924e+00      1.231884e+00      1.127116e-02
          34      1.152122e+00      1.229538e+00      1.118113e-02
          35      1.306271e+00      1.231730e+00      1.107452e-02
          36      1.237719e+00      1.231897e+00      1.076814e-02
          37      1.331255e+00      1.234582e+00      1.080676e-02
          38      1.135916e+00      1.231986e+00      1.082980e-02
          39      1.176187e+00      1.230555e+00      1.064620e-02
          40      1.282361e+00      1.231850e+00      1.045853e-02
          41      1.220357e+00      1.231570e+00      1.020720e-02
          42      1.155607e+00      1.229761e+00      1.012315e-02
          43      1.266187e+00      1.230608e+00      9.923105e-03
          44      1.233705e+00      1.230679e+00      9.697830e-03
          45      1.225211e+00      1.230557e+00      9.483083e-03
          46      1.208709e+00      1.230082e+00      9.288816e-03
          47      1.246956e+00      1.230441e+00      9.098117e-03
          48      1.319342e+00      1.232293e+00      9.095135e-03
          49      1.113256e+00      1.229864e+00      9.228257e-03
          50      1.182481e+00      1.228916e+00      9.092219e-03
          51      1.122836e+00      1.226836e+00      9.148767e-03
          52      1.191093e+00      1.226149e+00      8.998614e-03
          53      1.218087e+00      1.225997e+00      8.830114e-03
          54      1.233651e+00      1.226138e+00      8.667731e-03
          55      1.242994e+00      1.226445e+00      8.515552e-03
          56      1.243390e+00      1.226748e+00      8.368863e-03
          57      1.273696e+00      1.227571e+00      8.262473e-03
          58      1.205174e+00      1.227185e+00      8.129036e-03
          59      1.074397e+00      1.224595e+00      8.393606e-03
          60      1.262844e+00      1.225233e+00      8.277885e-03
          61      1.167569e+00      1.224288e+00      8.195980e-03
          62      1.202244e+00      1.223932e+00      8.071495e-03
          63      1.247022e+00      1.224299e+00      7.951693e-03
          64      1.340857e+00      1.226120e+00      8.033306e-03
          65      1.261913e+00      1.226670e+00      7.928568e-03
          66      1.063990e+00      1.224206e+00      8.182615e-03
          67      1.312166e+00      1.225518e+00      8.165126e-03
          68      1.192732e+00      1.225036e+00      8.059274e-03
          69      1.293096e+00      1.226023e+00      8.002605e-03
          70      1.222290e+00      1.225969e+00      7.888460e-03
          71      1.242873e+00      1.226207e+00      7.780947e-03
          72      1.185870e+00      1.225647e+00      7.693021e-03
          73      1.247791e+00      1.225950e+00      7.593615e-03
          74      1.319752e+00      1.227218e+00      7.596060e-03
          75      1.192675e+00      1.226758e+00      7.508729e-03
          76      1.145394e+00      1.225687e+00      7.485860e-03
          77      1.416053e+00      1.228159e+00      7.786197e-03
          78      1.273754e+00      1.228744e+00      7.708285e-03
          79      1.259273e+00      1.229130e+00      7.620392e-03
          80      1.273761e+00      1.229688e+00      7.545531e-03
          81      1.183863e+00      1.229122e+00      7.473554e-03
          82      1.256059e+00      1.229451e+00      7.389629e-03
          83      1.290333e+00      1.230184e+00      7.336914e-03
          84      1.233903e+00      1.230229e+00      7.249703e-03
          85      1.262537e+00      1.230609e+00      7.174370e-03
          86      1.199947e+00      1.230252e+00      7.099800e-03
          87      1.314835e+00      1.231224e+00      7.084446e-03
          88      1.290276e+00      1.231895e+00      7.035649e-03
          89      1.341818e+00      1.233131e+00      7.064172e-03
          90      1.327974e+00      1.234184e+00      7.063847e-03
          91      1.124390e+00      1.232978e+00      7.088512e-03
          92      1.206665e+00      1.232692e+00      7.017231e-03
          93      1.161735e+00      1.231929e+00      6.983133e-03
          94      1.209448e+00      1.231690e+00      6.912938e-03
          95      1.264191e+00      1.232032e+00      6.848631e-03
          96      1.170620e+00      1.231392e+00      6.807102e-03
          97      1.200323e+00      1.231072e+00      6.744457e-03
          98      1.344126e+00      1.232225e+00      6.773579e-03
          99      1.236876e+00      1.232272e+00      6.705321e-03
         100      1.194979e+00      1.231899e+00      6.648631e-03
         101      1.317069e+00      1.232743e+00      6.636064e-03
         102      1.186199e+00      1.232286e+00      6.586675e-03
         103      1.128819e+00      1.231282e+00      6.598883e-03
         104      1.141134e+00      1.230415e+00      6.592118e-03
         105      1.088008e+00      1.229059e+00      6.667394e-03
         106      1.210568e+00      1.228884e+00      6.606776e-03
         107      1.221124e+00      1.228812e+00      6.545428e-03
         108      1.211122e+00      1.228648e+00      6.486872e-03
         109      1.256663e+00      1.228905e+00      6.432449e-03
         110      1.127262e+00      1.227981e+00      6.439999e-03
         111      1.280432e+00      1.228454e+00      6.399294e-03
         112      1.166125e+00      1.227897e+00      6.366309e-03
         113      1.254231e+00      1.228130e+00      6.314234e-03
         114      1.174092e+00      1.227656e+00      6.276613e-03
         115      1.292948e+00      1.228224e+00      6.247659e-03
         116      1.263680e+00      1.228529e+00      6.201273e-03
         117      1.203588e+00      1.228316e+00      6.151933e-03
         118      1.156053e+00      1.227704e+00      6.130204e-03
         119      1.281711e+00      1.228158e+00      6.095466e-03
         120      1.257198e+00      1.228400e+00      6.049473e-03
         121      1.235650e+00      1.228460e+00      5.999774e-03
         122      1.249989e+00      1.228636e+00      5.953190e-03
         123      1.189595e+00      1.228319e+00      5.913246e-03
         124      1.366376e+00      1.229432e+00      5.969452e-03
