#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      7.817319e+00      7.817319e+00      0.000000e+00
           2      7.709365e+00      7.763342e+00      3.816761e-02
           3      7.845292e+00      7.790659e+00      3.383651e-02
           4      7.851806e+00      7.805945e+00      2.862298e-02
           5      7.791349e+00      7.803026e+00      2.304678e-02
           6      7.719032e+00      7.789027e+00      2.306877e-02
           7      7.744789e+00      7.782707e+00      2.062071e-02
           8      7.830679e+00      7.788704e+00      1.889488e-02
           9      7.741987e+00      7.783513e+00      1.749393e-02
          10      7.859607e+00      7.791122e+00      1.732061e-02
          11      7.812919e+00      7.793104e+00      1.585895e-02
          12      7.766263e+00      7.790867e+00      1.469426e-02
          13      7.795258e+00      7.791205e+00      1.356782e-02
          14      7.698600e+00      7.784590e+00      1.411933e-02
          15      7.687249e+00      7.778101e+00      1.459335e-02
          16      7.764957e+00      7.777279e+00      1.370437e-02
          17      7.819278e+00      7.779750e+00      1.311902e-02
          18      7.762517e+00      7.778793e+00      1.242507e-02
          19      7.752569e+00      7.777412e+00      1.184752e-02
          20      7.721276e+00      7.774606e+00      1.158286e-02
          21      7.794596e+00      7.775557e+00      1.107034e-02
          22      7.824380e+00      7.777777e+00      1.078729e-02
          23      7.669224e+00      7.773057e+00      1.130371e-02
          24      7.797987e+00      7.774096e+00      1.088035e-02
          25      7.820061e+00      7.775934e+00      1.059934e-02
          26      7.787917e+00      7.776395e+00      1.020169e-02
          27      7.725039e+00      7.774493e+00      9.999596e-03
          28      7.764423e+00      7.774133e+00      9.648933e-03
          29      7.770803e+00      7.774019e+00      9.316895e-03
          30      7.801379e+00      7.774931e+00      9.050860e-03
          31      7.650616e+00      7.770920e+00      9.606294e-03
          32      7.794472e+00      7.771656e+00      9.334248e-03
          33      7.704240e+00      7.769614e+00      9.272260e-03
          34      7.662887e+00      7.766475e+00      9.516064e-03
          35      7.757519e+00      7.766219e+00      9.247616e-03
          36      7.773276e+00      7.766415e+00      8.992815e-03
          37      7.766114e+00      7.766407e+00      8.749770e-03
          38      7.771017e+00      7.766528e+00      8.520354e-03
          39      7.675385e+00      7.764191e+00      8.616427e-03
