#MU        SIGMA      ENERGY     ERROR     
-0.282472  1.02801    -0.181736  0.0314121 
-0.348169  0.978002   -0.222755  0.0157298 
-0.287676  0.919449   -0.255265  0.0160185 
-0.196701  0.924498   -0.234966  0.018122  
-0.121454  0.966736   -0.237486  0.0156017 
-0.171223  0.897985   -0.233342  0.0166227 
-0.171223  0.897985   -0.233342  0.0174022 
-0.138756  0.93382    -0.24906   0.0163007 
-0.147969  0.921651   -0.260723  0.0162904 
-0.224922  0.916796   -0.278072  0.0177483 
-0.224922  0.916796   -0.278072  0.0222441 
-0.31765   0.985755   -0.272691  0.0326773 
-0.381903  0.995802   -0.173557  0.028868  
-0.38661   0.961725   -0.226613  0.0257638 
-0.486209  0.930043   -0.239327  0.0481278 
-0.407864  1.01056    -0.166994  0.0428402 
-0.439423  1.10239    -0.152318  0.0542085 
-0.439423  1.10239    -0.152318  0.0302218 
-0.409202  1.03534    -0.212458  0.0283864 
-0.342089  0.977407   -0.236292  0.0201719 
-0.350169  0.96832    -0.216842  0.0182185 
-0.297461  0.924764   -0.225908  0.0147585 
-0.23943   0.881166   -0.209528  0.0149715 
-0.260162  0.955651   -0.271189  0.0172657 
-0.331197  0.894328   -0.238372  0.0185828 
-0.347526  0.821079   -0.222408  0.0179316 
-0.252755  0.785506   -0.165139  0.0179012 
-0.163766  0.823587   -0.202814  0.0184413 
-0.163766  0.823587   -0.202814  0.0194584 
-0.163766  0.823587   -0.202814  0.0198962 
-0.163766  0.823587   -0.202814  0.0179053 
-0.257968  0.809338   -0.154494  0.0171824 
-0.166986  0.881831   -0.195111  0.0183133 
-0.0949965 0.805527   -0.116174  0.0214892 
-0.0949965 0.805527   -0.116174  0.020061  
-0.0661788 0.751721   -0.0298457 0.024822  
-0.0661788 0.751721   -0.0298457 0.0186508 
-0.0470972 0.805507   -0.118838  0.0161956 
-0.10645   0.892794   -0.201483  0.0153525 
-0.0805882 0.992012   -0.275658  0.0194731 
-0.0805882 0.992012   -0.275658  0.0185017 
-0.0090244 0.957986   -0.2536    0.0165885 
0.0275315  0.94567    -0.227625  0.0198122 
0.0842777  1.0353     -0.289769  0.0222595 
0.0792856  0.975945   -0.218137  0.0196771 
0.0569385  1.00277    -0.260328  0.0174674 
0.151402   0.971147   -0.261131  0.0377266 
0.221472   1.05113    -0.192745  0.0254395 
0.168041   1.07349    -0.271813  0.0165999 
0.235793   0.978321   -0.291701  0.0231475 
0.300209   1.00041    -0.218785  0.0280729 
0.300378   0.988744   -0.218627  0.0161556 
0.207681   0.915799   -0.231437  0.0169851 
0.207681   0.915799   -0.231437  0.0173949 
0.256533   0.896432   -0.21723   0.0152599 
0.273573   0.958348   -0.23201   0.0169648 
0.227563   0.980445   -0.246894  0.0584452 
0.227563   0.980445   -0.246894  0.0160516 
0.320638   0.946479   -0.286629  0.0206914 
0.320638   0.946479   -0.286629  0.0210598 
0.334579   0.943202   -0.277781  0.0158628 
0.334579   0.943202   -0.277781  0.0148044 
0.338384   0.933603   -0.280882  0.0262245 
0.348098   0.967721   -0.235191  0.0644069 
0.348098   0.967721   -0.235191  0.0165581 
0.251457   0.915906   -0.250534  0.0314559 
0.328497   1.01047    -0.216622  0.0155391 
0.278654   0.965454   -0.3284    0.0170362 
0.278654   0.965454   -0.3284    0.0386038 
0.367159   1.04262    -0.205574  0.0269459 
0.326027   1.05429    -0.236631  0.0328798 
0.321338   0.990969   -0.212175  0.0321422 
0.363075   0.91388    -0.256833  0.016229  
0.313685   0.855035   -0.237946  0.0205953 
0.36722    0.910519   -0.229874  0.0228414 
0.316554   1.00523    -0.244193  0.0211641 
0.316554   1.00523    -0.244193  0.0213881 
0.384741   0.919094   -0.2681    0.0136973 
0.417807   0.867417   -0.249224  0.0166677 
0.343508   0.770518   -0.140464  0.0160871 
0.328488   0.856202   -0.261771  0.0172374 
0.328488   0.856202   -0.261771  0.0292343 
0.315618   0.942583   -0.226285  0.029217  
0.392648   0.962809   -0.207639  0.0179447 
0.362737   0.918364   -0.279209  0.0256653 
0.362737   0.918364   -0.279209  0.0156858 
