#ENERGY    ERROR     
-0.590143  0         
-0.512511  0.0776318 
-0.501663  0.0461148 
-0.480741  0.038743  
-0.480876  0.0300105 
-0.481739  0.0245186 
-0.475621  0.0216062 
-0.47099   0.019276  
-0.473647  0.0172062 
-0.468255  0.016307  
-0.472101  0.0152435 
-0.46645   0.0150193 
-0.463272  0.0141764 
-0.467454  0.013775  
-0.475016  0.0148871 
-0.46964   0.0149269 
-0.470779  0.0140676 
-0.468751  0.0134172 
-0.467674  0.012737  
-0.461547  0.0135484 
-0.456254  0.0139314 
-0.461145  0.014155  
-0.461353  0.0135272 
-0.458517  0.0132583 
-0.458396  0.0127174 
-0.461546  0.012618  
-0.457493  0.0128004 
-0.458534  0.0123786 
-0.455054  0.0124409 
-0.456777  0.0121419 
-0.457298  0.0117552 
-0.461233  0.012043  
-0.46091   0.0116768 
-0.458621  0.011557  
-0.460433  0.0113673 
-0.460701  0.0110503 
-0.460755  0.0107476 
-0.458228  0.0107619 
-0.456635  0.0106027 
-0.457486  0.0103692 
-0.457051  0.0101225 
-0.459486  0.0101741 
-0.461476  0.010132  
-0.459096  0.010181  
-0.458509  0.00996952
-0.460398  0.00993164
-0.460175  0.00972057
-0.461849  0.00966189
-0.461045  0.00949669
-0.460247  0.00933898
-0.45957   0.00917906
-0.458994  0.00901922
-0.458892  0.00884799
-0.452324  0.0108874 
-0.45304   0.0107116 
-0.453415  0.0105252 
-0.454468  0.0103924 
-0.455681  0.0102834 
-0.456805  0.01017   
-0.456686  0.00999976
-0.454229  0.0101369 
-0.45451   0.00997602
-0.45534   0.0098514 
-0.45469   0.00971797
-0.454869  0.00956896
-0.45442   0.00943356
-0.453158  0.00937702
-0.44672   0.01126   
-0.446037  0.0111166 
-0.445331  0.0109793 
-0.444322  0.0108706 
-0.444813  0.0107298 
-0.444155  0.0106022 
-0.440239  0.0111669 
-0.439694  0.0110305 
-0.439554  0.0108853 
-0.439836  0.0107467 
-0.440831  0.0106546 
-0.440183  0.0105387 
-0.440314  0.010407  
-0.440493  0.0102793 
-0.441347  0.010189  
-0.441882  0.0100797 
-0.442712  0.00999349
-0.442827  0.00987589
-0.442558  0.0097641 
-0.442232  0.0096567 
-0.443624  0.00964731
-0.443103  0.00955253
-0.442678  0.00945537
-0.443359  0.00937565
-0.44355   0.00927516
-0.443503  0.00917501
-0.443813  0.00908218
-0.442916  0.00903072
-0.442383  0.00895202
-0.43266   0.0131544 
-0.433308  0.0130356 
-0.433175  0.012904  
-0.433923  0.0127961 
-0.435072  0.0127208 
-0.435992  0.012629  
-0.436458  0.0125145 
-0.436681  0.0123956 
-0.437712  0.0123202 
-0.438744  0.012247  
-0.438758  0.012132  
-0.437935  0.0120473 
-0.438297  0.0119418 
-0.437941  0.0118381 
-0.438553  0.0117469 
-0.438901  0.0116467 
-0.438846  0.0115433 
-0.438681  0.0114428 
-0.439476  0.0113707 
-0.439501  0.0112722 
-0.439841  0.0111806 
-0.439909  0.0110857 
-0.439438  0.0110022 
-0.439408  0.0109102 
-0.43956   0.0108207 
-0.438507  0.0107832 
-0.438286  0.0106975 
-0.438278  0.0106109 
-0.438471  0.0105274 
-0.437969  0.0104556 
-0.438066  0.0103734 
-0.438358  0.0102962 
-0.438399  0.0102161 
-0.438849  0.0101472 
-0.438636  0.0100717 
-0.438621  0.00999512
-0.43971   0.00997928
-0.440013  0.00990916
-0.440235  0.009838  
-0.440248  0.0097654 
-0.440345  0.00969435
-0.438871  0.00973605
-0.438991  0.0096665 
-0.438991  0.0095972 
-0.438783  0.00953117
-0.439492  0.00949033
-0.440264  0.0094553 
-0.440136  0.00939027
-0.440214  0.00932561
-0.440032  0.00926331
-0.440363  0.00920604
-0.440537  0.00914528
-0.438559  0.00929661
-0.438288  0.00923841
-0.438538  0.00918044
-0.438773  0.00912288
-0.43927   0.00907665
-0.439582  0.00902293
-0.4396    0.00896454
-0.439542  0.00890708
-0.439963  0.00886021
-0.440169  0.00880635
-0.440425  0.00875453
-0.439996  0.0087102 
-0.439903  0.00865643
-0.440194  0.00860774
-0.4405    0.00856026
-0.440563  0.00850813
-0.441371  0.00849492
-0.441299  0.0084439 
-0.440967  0.00839975
-0.441167  0.00835199
-0.440134  0.00836639
-0.440006  0.00831801
-0.440276  0.00827362
-0.44029   0.00822539
-0.440559  0.00818216
-0.440429  0.00813605
-0.440888  0.00810247
-0.440679  0.00805902
-0.440531  0.00801472
-0.440124  0.00797997
-0.439952  0.00793711
-0.440082  0.00789397
-0.440383  0.00785599
-0.440568  0.0078149 
-0.440224  0.00777972
-0.440099  0.00773832
-0.439976  0.00769737
-0.440577  0.00767945
-0.440639  0.00763852
-0.440481  0.00759942
-0.440536  0.00755931
-0.439963  0.00754122
-0.439985  0.00750166
-0.439926  0.00746272
-0.440441  0.00744176
-0.440393  0.00740346
-0.439971  0.00737748
-0.4404    0.00735226
-0.440578  0.00731702
-0.4405    0.00728039
-0.440571  0.00724406
-0.440868  0.00721384
-0.440789  0.00717828
-0.440639  0.00714424
-0.440587  0.00710915
-0.440658  0.00707457
-0.441043  0.00705048
-0.441312  0.00702135
-0.441147  0.00698929
-0.441143  0.0069556 
-0.440979  0.0069242 
-0.441151  0.00689331
-0.441179  0.00686062
-0.441079  0.00682891
-0.441283  0.00679982
-0.441565  0.00677386
-0.441698  0.00674359
-0.441684  0.00671231
-0.441547  0.00668272
-0.441515  0.00665207
-0.441692  0.006624  
-0.440545  0.00669286
-0.441046  0.00668129
-0.44116   0.00665211
-0.44129   0.00662349
-0.441283  0.00659386
-0.441351  0.00656484
-0.441375  0.00653577
-0.441665  0.00651339
-0.441706  0.00648489
-0.441889  0.00645912
-0.441863  0.00643103
-0.441951  0.00640374
-0.442033  0.0063766 
-0.441392  0.00638144
-0.441547  0.006356  
-0.441594  0.00632907
-0.44172   0.00630344
-0.441285  0.00629179
-0.441103  0.00626795
-0.441145  0.00624181
-0.441295  0.00621756
-0.441437  0.00619334
-0.441414  0.00616774
-0.441528  0.00614336
-0.441393  0.00611963
-0.441252  0.00609621
-0.441477  0.00607552
-0.441691  0.00605465
-0.441391  0.00603763
-0.441314  0.00601382
-0.441448  0.00599121
-0.441757  0.0059753 
-0.441608  0.00595342
-0.441703  0.00593061
-0.441652  0.00590743
-0.441883  0.00588873
-0.441831  0.00586591
-0.441995  0.00584534
-0.442384  0.00583566
-0.442365  0.00581312
-0.442243  0.00579199
-0.442345  0.00577065
-0.44268   0.0057583 
-0.442896  0.00574043
-0.443043  0.00572054
-0.44323   0.00570199
-0.443105  0.00568189
-0.443647  0.00568644
-0.443732  0.00566582
-0.443826  0.00564549
-0.443801  0.0056246 
-0.443823  0.00560385
-0.443688  0.00558484
-0.443875  0.00556747
-0.444006  0.00554868
-0.443952  0.00552873
-0.443687  0.00551504
-0.443752  0.00549548
-0.443738  0.00547569
-0.443706  0.00545613
-0.443679  0.00543667
-0.443677  0.00541729
-0.443104  0.00542834
-0.443348  0.00541465
-0.443456  0.00539662
-0.443538  0.00537828
-0.44359   0.00535969
-0.443888  0.00534931
-0.443865  0.00533075
-0.443905  0.00531242
-0.443794  0.00529524
-0.443905  0.00527819
-0.443891  0.0052601 
-0.443875  0.00524214
-0.443725  0.00522643
-0.443741  0.00520871
-0.443465  0.00519841
-0.44357   0.00518195
-0.443397  0.00516743
-0.443375  0.00515016
-0.443678  0.00514191
-0.44374   0.00512517
-0.443909  0.00511098
-0.444064  0.00509644
-0.443899  0.00508233
-0.443795  0.00506671
-0.444072  0.00505769
-0.444026  0.0050414 
-0.443878  0.00502716
-0.443931  0.00501114
-0.443975  0.00499515
-0.44312   0.00505193
-0.442862  0.00504233
-0.442884  0.00502624
-0.442815  0.00501069
-0.442918  0.00499582
-0.443361  0.00499959
-0.443348  0.00498381
-0.443439  0.00496895
-0.443409  0.00495344
-0.443127  0.00494601
-0.443497  0.00494445
-0.443732  0.00493467
-0.443856  0.00492094
-0.443838  0.00490576
-0.443764  0.00489121
-0.443722  0.00487636
-0.443967  0.00486762
-0.44412   0.00485517
-0.444324  0.00484468
-0.444428  0.0048311 
-0.444598  0.00481947
-0.444808  0.0048095 
-0.444648  0.00479771
-0.444907  0.00479033
-0.444996  0.00477685
-0.445168  0.00476571
-0.445207  0.00475171
-0.445094  0.00473898
-0.445316  0.0047302 
-0.445148  0.00471928
-0.444876  0.00471327
-0.445092  0.00470442
-0.445242  0.0046931 
-0.445405  0.00468226
-0.445573  0.00467169
-0.445125  0.00467967
-0.445487  0.00468018
-0.445677  0.0046706 
-0.445583  0.00465814
-0.445678  0.00464578
-0.445575  0.00463368
-0.445439  0.0046225 
-0.445523  0.00461014
