#X         PSI_SQUARED
0.683814   0.963501  
-0.637227  0.987053  
-0.783528  0.59763   
0.385104   0.359776  
-0.529766  0.775919  
-0.818654  0.480098  
0.552943   0.249939  
0.729496   0.550732  
0.672738   0.880887  
-0.672171  0.712671  
-0.773031  0.996079  
-0.763493  0.927261  
-0.622609  0.666891  
0.855356   0.933213  
0.635393   0.718458  
0.969196   0.883666  
-1.31244   0.324234  
1.28102    0.512599  
-1.34811   0.591087  
1.15777    0.914217  
-0.693943  0.525078  
1.10769    0.996795  
-1.03046   0.963686  
-1.48244   0.477971  
-0.930212  0.719412  
-1.76219   0.393692  
-1.21716   0.99863   
1.17015    0.956504  
-1.88865   0.292413  
-1.43098   0.938859  
-1.17667   0.97369   
-1.12303   0.891033  
0.838163   0.0517346 
1.42194    0.811805  
-1.02723   0.126631  
1.4672     0.72546   
-1.59646   0.341969  
-1.21274   0.99785   
-0.952695  0.602157  
-0.954257  0.729425  
1.5967     0.115019  
1.28008    0.886652  
-0.813102  0.313708  
-1.05804   0.832497  
-1.09285   0.970925  
1.48157    0.147937  
1.09858    0.999768  
0.961547   0.825426  
0.926626   0.89592   
-0.766449  0.569663  
1.01315    0.926205  
-1.15946   0.478513  
-1.32038   0.248649  
-1.25767   0.20072   
0.792896   0.999072  
-0.956635  0.709398  
0.742451   1.00553   
0.614331   0.971281  
-0.14987   0.109494  
0.758023   0.975872  
0.20677    0.54829   
1.04475    0.706566  
0.973672   0.815046  
-0.873495  0.946514  
-0.224835  1.21827   
0.103275   1.28243   
-0.113232  1.32093   
-0.367593  1.43012   
0.226032   1.20922   
1.03722    1.03563   
1.3578     0.816019  
1.00227    1.1244    
-0.109799  1.58339   
0.216254   1.42486   
0.201614   1.42663   
2.02165    0.282995  
1.43519    0.844565  
1.71022    0.443639  
0.404981   0.566084  
-1.43538   0.816419  
0.812536   1.02401   
-0.424898  0.504395  
0.481525   0.376383  
-1.37223   0.9637    
-1.61126   0.48885   
2.08946    0.0768111 
-1.12853   0.920553  
-1.82715   0.364675  
0.948982   0.63973   
1.0297     0.787906  
0.185296   0.068239  
0.464515   0.24959   
-1.3479    0.984981  
-1.1291    0.900367  
1.44572    0.943431  
-2.2061    0.212089  
-1.47503   0.899388  
-1.16267   1.03241   
0.63424    0.753813  
0.833743   0.767532  
-1.96677   0.396192  
-0.32108   0.32101   
1.31738    0.997229  
1.858      0.517076  
1.99872    0.326476  
-0.295443  0.303909  
1.24585    1.01646   
1.63362    0.831208  
-1.56926   0.767017  
0.974033   1.0047    
-0.791126  1.03799   
-0.147783  0.863248  
2.11305    0.221376  
1.21588    1.08352   
-1.70618   0.679869  
0.453402   1.16893   
-1.02837   1.17615   
0.0187193  0.815579  
-1.20245   1.0687    
-1.50348   0.949596  
1.99144    0.604595  
0.848557   0.939878  
-1.28356   1.02731   
-1.63539   0.7575    
-0.130822  0.612352  
1.05209    1.08365   
1.45014    0.90253   
-1.84803   0.471385  
-0.972784  1.08287   
-1.34996   0.967553  
-0.667611  1.37021   
0.287566   1.43042   
-1.11721   1.09882   
1.5587     0.623251  
-0.568411  1.02242   
-0.694729  0.990388  
-0.492684  0.794755  
0.434311   0.812292  
0.275816   0.572641  
-1.77472   0.284677  
-0.813182  0.989364  
0.911937   1.0204    
0.0770181  0.951491  
0.497997   1.3037    
0.76488    1.26168   
-0.74195   1.24218   
-0.884763  1.34399   
0.179888   1.20305   
-1.52478   0.755229  
-0.754569  0.977635  
0.658523   1.13977   
0.895525   1.01659   
0.345555   0.521043  
1.16334    0.958655  
-1.33195   0.804136  
0.601218   0.987136  
-0.991498  1.06343   
1.04688    1.0182    
1.1837     1.05183   
2.122      0.254039  
0.360342   0.651932  
0.707905   0.712156  
-1.58432   0.721418  
-0.0137625 0.434399  
-1.3613    0.928644  
1.70282    0.623474  
-1.21385   0.996338  
-1.40755   0.923775  
1.83279    0.458731  
-1.6004    0.820747  
0.0415251  0.220879  
0.769885   0.518258  
1.15275    0.909928  
0.962716   0.731422  
1.49676    0.957838  
-0.932514  0.67604   
-2.23958   0.146814  
-1.98064   0.411738  
-0.740433  0.463498  
-1.35854   0.974877  
1.42385    0.940453  
-0.962058  0.945896  
-0.649358  0.50471   
-0.259213  0.285803  
-0.716508  0.826363  
-0.830059  0.95935   
1.42826    0.824815  
-1.51486   0.832466  
1.12712    1.04418   
-0.464945  0.886329  
0.0523911  0.703543  
-1.37801   0.918967  
-1.49697   0.782648  
-0.418903  1.27632   
0.439046   1.26647   
0.558288   1.04541   
-1.49924   0.723459  
0.894203   1.13224   
-0.0481587 0.71674   
0.930296   1.09631   
0.279506   1.13491   
-1.46517   0.685615  
-1.08671   1.08067   
1.09633    1.04627   
0.771483   1.59941   
-0.40391   1.91508   
-0.593254  2.01972   
0.0292716  2.22943   
-0.480681  2.00812   
-1.27498   0.634979  
-0.160309  1.70423   
0.434615   1.90225   
-1.30399   0.614037  
0.427762   2.11072   
1.51224    0.438483  
1.6227     0.216323  
0.0964048  2.41599   
-0.0568049 2.58291   
0.298012   2.2111    
-0.229696  2.0253    
-0.196858  1.43021   
0.0450607  1.00229   
0.925819   0.833687  
-0.617589  1.19907   
0.792177   1.11681   
0.220018   1.68865   
0.599349   1.46847   
1.32445    0.422     
-0.574446  1.5428    
-1.28383   0.471571  
-1.30001   0.491882  
-0.23768   1.23458   
0.888961   1.05656   
-1.30303   0.368806  
0.161242   0.623142  
-1.00446   0.89349   
-1.49506   0.130503  
-1.09509   0.609576  
-1.05588   0.368594  
1.07802    0.381509  
-0.547893  0.879312  
0.604496   0.918848  
1.04356    0.67671   
0.465527   0.765474  
0.76469    0.994375  
-1.14935   0.404221  
0.980824   0.84723   
0.629112   0.959689  
-1.22451   0.558834  
1.21318    0.739081  
0.911087   1.01224   
1.08715    0.871208  
0.551388   0.779664  
1.14109    0.462599  
-0.478402  0.832706  
0.811486   1.00605   
0.401279   0.344943  
-0.71493   0.95147   
0.682567   0.868563  
-0.174509  0.081556  
0.695352   0.985529  
-0.643177  0.810852  
-0.906429  0.912544  
0.431193   0.818824  
0.232729   1.1322    
0.0663843  1.1518    
-1.08268   0.486187  
-0.300976  1.74691   
-0.0938983 1.72844   
-0.0543162 1.26878   
0.817066   0.719527  
0.0448888  2.57294   
0.225308   2.41613   
-0.272353  2.25672   
0.319767   1.84019   
0.393324   1.85524   
-0.106341  1.81394   
-0.57639   1.23766   
0.485229   1.67018   
-0.0299186 2.57201   
-0.265915  2.78877   
-0.302339  2.64145   
-0.0115674 2.88844   
-0.378746  2.58324   
0.391309   2.09185   
0.142022   2.5577    
0.343362   2.03042   
-0.350675  1.82557   
-0.150556  2.17199   
0.815846   0.824074  
0.605163   1.1824    
0.36738    1.91254   
0.66523    1.26004   
0.245903   1.47682   
-0.682911  1.00948   
1.17999    0.31392   
-0.104642  1.37322   
-0.0788956 1.10073   
-0.226966  1.4777    
-0.274068  1.72525   
-1.72149   0.134475  
0.278841   1.47621   
-0.415644  1.82529   
0.760264   1.49075   
-0.96097   1.35079   
-0.7044    1.47414   
-1.63075   0.503531  
-1.2589    0.975913  
0.235622   1.41767   
-0.468937  1.17155   
-1.01955   1.10554   
0.114519   1.13489   
-0.906783  1.07386   
0.813537   1.12721   
1.44744    0.916352  
0.122524   0.870424  
-0.998735  1.08636   
-0.421638  0.762195  
0.719843   0.815117  
0.175494   1.02489   
0.865332   1.23253   
0.316469   1.49332   
-0.285271  1.50382   
-0.658524  1.32668   
-0.865667  1.15812   
-0.17621   0.709289  
1.37585    0.816072  
2.20631    0.0666536 
1.50014    0.581057  
1.00034    1.03572   
1.68242    0.542668  
-0.474407  0.783424  
0.170432   0.789644  
0.247064   1.03231   
1.11782    0.753474  
-0.842981  1.04584   
1.38236    0.12576   
-0.510303  1.09237   
-0.517094  1.09326   
-0.672303  1.10025   
0.753373   1.03943   
-0.0831092 1.49085   
-0.529725  1.3129    
-0.712728  0.805277  
0.312661   1.17524   
-0.341517  0.992896  
-0.302742  1.49425   
0.695388   0.907632  
0.440934   1.21935   
0.430535   1.04597   
0.34941    0.884631  
-0.243959  1.40057   
-0.253924  1.13484   
-0.229326  1.5411    
-0.246619  1.13848   
0.259136   1.02097   
-0.194679  1.11001   
0.05502    2.10489   
0.117472   1.2331    
0.0627399  2.84074   
-0.139449  1.86349   
0.389778   0.472487  
0.323835   0.955153  
-0.73164   0.200022  
-0.252322  1.63339   
-0.409007  1.62471   
0.184247   2.88518   
0.279578   2.18975   
-0.162662  2.2068    
0.561133   0.342571  
0.172944   3.05292   
-0.126623  3.32864   
0.284683   2.79597   
0.0037973  3.99943   
0.473764   2.20741   
0.313494   3.16768   
-0.783927  1.17748   
0.171224   3.71621   
0.000190416 3.80459   
0.40696    2.83574   
0.494204   2.43366   
-0.70237   1.85909   
0.395259   2.8025    
-1.10748   0.716164  
-0.455313  2.78758   
0.593489   2.30459   
-1.0144    0.659357  
-0.0841003 3.48213   
0.799846   1.16131   
0.254885   2.96843   
-0.299603  2.80866   
-0.54222   2.13727   
-0.644284  1.87129   
0.0854488  2.6238    
-0.0778954 2.10131   
-1.08068   0.904073  
-0.402935  1.7783    
1.23573    0.680857  
1.06074    0.82048   
1.69844    0.134025  
0.226815   1.84894   
-0.881303  1.13738   
0.361832   2.40772   
0.21138    2.70135   
0.870333   0.972246  
0.465649   2.27612   
0.0676616  2.89929   
-0.213379  2.53148   
0.420432   2.05337   
0.630633   1.7521    
-0.462742  2.27092   
-0.0681932 2.79944   
-1.04651   0.999913  
1.58477    0.237681  
-0.423299  2.25003   
0.0519184  2.44004   
-1.29793   0.795182  
0.256573   2.73334   
0.233549   3.12129   
-0.656715  2.49303   
0.894203   1.78476   
-1.69211   0.32529   
-1.58407   0.324967  
1.25347    0.734757  
0.980639   1.09282   
0.0508644  2.20448   
-1.29158   0.79276   
0.964828   1.38539   
0.580235   2.032     
0.595762   2.05281   
-0.277247  2.5096    
-0.54927   1.83176   
0.0434741  1.98835   
0.311648   2.30394   
0.0562418  2.31492   
-0.360983  2.15145   
0.861227   1.35152   
0.166259   1.47288   
-0.944659  1.05869   
-1.0842    0.991338  
-0.571047  0.97027   
0.134306   1.27911   
-0.259993  1.42435   
-0.8758    1.1936    
1.17698    0.877313  
-0.673841  0.969091  
1.01106    0.985618  
-1.03495   1.00843   
-0.275498  0.518929  
1.06011    0.952058  
1.80615    0.119832  
0.745915   1.05691   
-1.23947   0.839302  
-1.20409   0.849851  
1.52361    0.503161  
0.597939   1.10544   
1.0576     0.970491  
1.80029    0.214747  
0.747959   0.957628  
-0.616776  1.00633   
0.877797   1.01801   
1.01076    0.893725  
-0.508194  0.559977  
-0.745536  1.01346   
-0.23991   0.694723  
-0.25291   0.629047  
-0.0837128 0.660953  
0.563818   1.22158   
-0.777916  1.127     
-0.325204  1.07297   
-0.869862  0.997258  
0.677159   0.947113  
-0.842206  1.00318   
-0.784574  0.987677  
-0.566695  0.698824  
1.33608    0.535479  
-0.897191  0.969089  
-1.19732   0.403627  
0.411244   0.459095  
0.93395    0.996504  
0.975307   1.00038   
1.20978    0.866976  
-1.02254   0.999992  
0.888664   0.808207  
-1.28129   0.851961  
-1.09274   1.00001   
-0.930963  0.886521  
1.12917    0.987334  
1.11237    0.999678  
-0.975061  0.814558  
0.995605   0.682985  
-1.12358   0.921748  
1.37035    0.865143  
1.72246    0.22896   
1.41989    0.996687  
1.59969    0.609259  
1.39727    0.625083  
1.40932    0.993349  
1.54739    0.939868  
-2.02178   0.200773  
1.4081     0.94072   
1.47496    0.998143  
1.43146    0.878694  
-1.78362   0.306302  
-1.39806   0.870712  
-1.43444   0.993689  
1.19642    0.343331  
-1.53542   0.307024  
-1.42629   0.998468  
-1.23549   0.920911  
-1.20376   0.768828  
-1.97774   0.320413  
1.46996    0.94822   
-1.7482    0.525638  
-1.65572   0.744888  
-1.35132   0.978026  
-1.64587   0.64453   
1.25868    0.992127  
-1.22548   0.8914    
-1.63906   0.587995  
1.24434    0.956973  
1.04758    0.648899  
1.10683    0.648565  
1.76267    0.282699  
1.29526    0.952835  
-1.14254   0.662106  
1.5063     0.975751  
1.31348    0.918125  
1.35869    0.971787  
1.17958    0.617463  
1.70386    0.795928  
1.12718    0.683945  
1.38648    0.940165  
-1.98041   0.414851  
1.16099    0.602412  
-1.48805   0.997084  
1.14039    0.71701   
-1.55412   0.958     
1.42667    0.991046  
1.39121    0.986073  
0.848182   0.217141  
-1.42799   0.934165  
1.66156    0.897845  
-1.45407   0.93137   
1.29678    0.715846  
-1.67822   0.986492  
1.71879    0.963439  
-1.79543   0.982905  
1.38984    0.311071  
2.01997    0.681302  
-1.55311   0.548384  
1.77526    0.988261  
-1.51984   0.62898   
-1.50109   0.640894  
1.80876    0.942169  
-2.04927   0.338601  
-1.78556   0.953046  
-2.02365   0.0916625 
1.5731     0.915057  
-1.79319   0.337989  
1.59708    0.996236  
1.60403    0.905817  
-1.56421   0.945018  
-1.45708   0.948557  
1.64253    0.761646  
-1.55409   0.948937  
-1.37504   0.749993  
-1.32577   0.751626  
-1.20301   0.228089  
-1.61038   0.9545    
1.26153    0.292527  
-1.84264   0.536385  
1.86794    0.304494  
-1.31511   0.911937  
-1.69842   0.669198  
1.30487    0.892416  
-1.34443   0.999731  
1.68695    0.521462  
0.907268   0.0618354 
1.55627    0.825677  
1.77725    0.361712  
1.70371    0.47384   
-1.78094   0.368969  
1.02705    0.44909   
-1.60172   0.964184  
1.39607    0.956756  
-1.60757   0.939633  
-1.5564    0.985997  
-1.5876    0.958444  
-1.73466   0.575662  
-1.50196   0.932283  
-1.6053    0.999933  
1.63715    0.946276  
1.52613    0.984459  
-1.7715    0.725301  
1.92622    0.456667  
-1.33517   0.797838  
-1.54542   0.987593  
1.55578    0.98481   
1.44102    0.95887   
1.14309    0.586828  
-1.4401    0.999189  
-1.76964   0.338672  
-1.16166   0.233358  
1.22933    0.658363  
-1.54177   0.90736   
1.45951    0.984325  
-1.35651   0.930581  
1.15925    0.421983  
1.47033    0.91328   
1.3653     0.969732  
1.64018    0.621576  
1.0065     0.633753  
-1.65946   0.604509  
0.756431   0.448414  
-0.829892  0.369759  
-0.54454   0.174846  
1.17538    0.994822  
-1.04601   0.894698  
-0.527738  0.265451  
-0.884837  0.636545  
-1.50503   0.976302  
1.58083    0.945396  
-1.61491   0.851262  
-1.68646   0.874542  
2.17913    0.215871  
-0.978305  0.192407  
-1.72374   0.912441  
1.69163    0.997755  
-1.05571   0.390025  
-1.67156   0.998581  
1.25039    0.751529  
1.80454    0.684946  
1.54757    0.933106  
-1.14095   0.809816  
1.07391    0.823943  
0.802101   0.447794  
-1.38009   0.925448  
-1.39341   0.884818  
0.18631    0.135521  
1.4675     0.819663  
-1.14427   0.999991  
-1.05262   0.98872   
-0.875148  0.825034  
-0.855972  0.570833  
1.19482    0.986792  
-1.24244   0.996156  
1.17287    0.999978  
1.5707     0.497377  
1.3166     0.942953  
-1.49563   0.839624  
-1.36228   0.925216  
0.114947   0.0374631 
-1.16597   0.894147  
-0.96947   0.66997   
-1.30154   0.975244  
-0.774993  0.379754  
1.76847    0.431359  
-1.3735    0.976129  
1.2688     0.994598  
-1.8179    0.391504  
1.07479    0.754039  
1.19475    0.982338  
1.21778    0.982199  
-1.81057   0.653636  
1.821      0.672358  
0.917072   0.816097  
1.66347    0.809622  
-0.784359  0.671905  
-1.80971   0.643131  
1.76111    0.71277   
-1.79193   0.636172  
-1.15819   1.02865   
-0.571163  0.823372  
-0.646065  0.899627  
-1.81335   0.415322  
1.6019     0.501093  
-0.688367  0.995842  
0.185347   0.521296  
-0.542528  1.05785   
0.271838   0.828921  
0.237859   1.10671   
-1.01382   1.04386   
0.209803   0.9133    
-1.10177   0.960238  
-0.98549   0.93997   
-1.04645   0.925856  
-0.0331643 0.859423  
0.368462   0.9866    
