#MU        SIGMA      ENERGY     ERROR     
0.751335   1.2445     0.938093   0.119515  
0.669487   1.22694    0.56939    0.126858  
0.635627   1.1652     0.363879   0.0899955 
0.687713   1.14423    0.381597   0.124127  
0.687713   1.14423    0.381597   0.0884984 
0.761381   1.04488    0.13931    0.0908276 
0.836681   1.07585    0.312729   0.156715  
0.818814   1.14656    0.779416   0.0801279 
0.802004   1.14299    0.481077   0.0662555 
0.738621   1.15313    0.286176   0.14252   
0.738621   1.15313    0.286176   0.100249  
0.738621   1.15313    0.286176   0.317923  
0.684811   1.24013    0.9199     0.20423   
0.629247   1.27857    0.81506    0.0894442 
0.722325   1.2859     0.637208   0.169736  
0.701067   1.3285     1.29427    0.0978907 
0.666024   1.25985    0.625652   0.169905  
0.666024   1.25985    0.625652   0.136033  
0.680262   1.276      0.979858   0.268399  
0.680262   1.276      0.979858   0.14396   
0.777336   1.31534    0.995605   0.208685  
0.777336   1.31534    0.995605   0.227289  
0.777336   1.31534    0.995605   0.214049  
0.811491   1.38176    2.10506    0.262135  
0.719036   1.36358    1.55977    0.18922   
0.724838   1.33185    1.20966    0.121148  
0.640026   1.32516    0.842148   0.132967  
0.590038   1.26668    0.710642   0.106949  
0.645196   1.22547    0.430762   0.129556  
0.703984   1.14677    0.504073   0.0904743 
0.733635   1.17363    0.368958   0.0967734 
0.684711   1.14254    0.292985   0.0606682 
0.682484   1.11196    0.143301   0.116683  
0.682484   1.11196    0.143301   0.0865247 
0.709241   1.10694    0.16839    0.101135  
0.643771   1.12308    0.171211   0.0717138 
0.61678    1.09987    0.104313   0.060589  
0.603161   1.05577    0.00308161 0.0685561 
0.62026    1.1321     0.122065   0.0884152 
0.681885   1.15987    0.315078   0.110012  
0.776253   1.21554    0.813837   0.151426  
0.812455   1.19802    0.966879   0.183198  
0.812455   1.19802    0.966879   0.182022  
0.872166   1.19691    1.19976    0.144123  
0.783164   1.27934    1.04496    0.209728  
0.831661   1.31956    1.61656    0.1236    
0.774561   1.24007    0.836136   0.158212  
0.849845   1.23959    1.38641    0.261544  
0.922424   1.32219    2.1386     0.317154  
0.922424   1.32219    2.1386     0.23263   
0.89335    1.30697    1.78892    0.186619  
0.837388   1.25149    1.51096    0.172727  
0.760937   1.29208    1.2724     0.152308  
0.749744   1.21929    0.791764   0.125021  
0.704081   1.21697    0.533088   0.107808  
0.627041   1.28758    0.573908   0.174507  
0.698123   1.25794    0.807065   0.13616   
0.763221   1.24383    0.723699   0.0887236 
0.705446   1.25544    0.565076   0.149136  
0.705446   1.25544    0.565076   0.174398  
